author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
idontwnatapename,/gp/profile/amzn1.account.AGVGWZDMBZZOWNB735DP4M62V4TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",0,6,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Set up was extremely easy:1) I plugged the Fire stick into my TV and put the batteries into the remote control,2) the Fire stick started itself, asked which WiFi network is mine, then asked me to enter the WiFi password using the remote control. It then said it was connected to the internet,3) the Fire stick downloaded updates and restarted itself, which took 10 minutes,4) to log in to my Amazon account, the Fire stick asked me to go to the amazon.com/code website on my computer and enter the code that it displayed on my TV, which was very easy. Now the Fire Stick was logged into my Amazon account,5) Lastly, it played music and asked me to check that the volume control on the remote control worked, and it did.Done. I was playing a TV show with this device less than 20 minutes after opening the package. The TV image and audio are very clear and it loaded the show quickly.Also, the remote control is small and has exactly what you need, without all the unnecessary buttons on my TV remote. The buttons turn the TV on/off, adjust volume up/down (including a mute button), fast-forward/rewind, and holding down the speaker button lets you provide verbal commands to Alexa.This is an excellent device at an affordable price.","Easy set up, excellent remote control",Configuration: Fire TV StickVerified Purchase,904 people found this helpful,437,27,2196889,Public
Leslie Mok,/gp/profile/amzn1.account.AHXKBGZAPPG34P35NMC2X6XJ436A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",1,8,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I just got this 2 hours ago, I can’t hardly wait to write a first review, I have all generations of all firestick, this 1080 stick is equally as good as the 4K, as far as speed and responses, I am now waiting for the 2020 version of 4K , hope it will be much faster. I am glad Amazon is on top of the game, certainly my hat off to you guys!After using it for a week plus, I realized I had the same apps installed like my other 4K sticks but this new stick have used up less then half of the memory , I am over joy because I don’t have to clean up the money and cache every other day 👍👍👍",This new 2020 firestick is equal to the old 4K as performance go,Configuration: Fire TV StickVerified Purchase,402 people found this helpful,373,44,143129,Public
Patrick Long,/gp/profile/amzn1.account.AGWORVJVKK6B3IQTTY3JI7BS55YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 2, 2020",0,17,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Don't listen to the bad reviews, this new Firestick is awesome. The Wi-Fi upgrade is noticeable right away. The people who are having trouble are clueless when it comes to networks. You want to be connecting to 5Ghz, if you connect to 2.4 Ghz then performance will suffer because your streaming content. You need to make sure you have a 5Ghz router or at least a dual band router.",This is a Great Upgrade,Configuration: Fire TV StickVerified Purchase,343 people found this helpful,296,22,178008,Public
Vicky,/gp/profile/amzn1.account.AEA4YR7YMBYIDGOG6PB73QFW4XSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 2, 2020",0,51,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I'm returning this in two days. First, the back of the remote control is hard to slide open to place the batteries. I felt stupid that I could not open the back cover. I searched on YouTube and found several videos expressing the same problem. It took me 10 minutes just to open the back cover of the remote contol. Epic design fail and I said so to the fire tv department. Amazon needs to redesign the remote control. Second, not many free channels. The whole point of getting the firestick is to not pay cable prices. However, most of the stuff I wanted required subscriptions, even the broadcast networks.",Not user-friendly or intuitive,Configuration: Fire TV StickVerified Purchase,284 people found this helpful,337,68,416104,Public
Chris Rod,/gp/profile/amzn1.account.AFOSMTJQYE5NBSKTQ432BPEHNAXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",2,10,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Received brand new, first of its kind, 3rd Gen 2020 FireStick, with its default setting...in Spanish! Luckily I own the 2019 FireStick and was able to find the “change to English” option on the preferences using another TV. However, booting up this “advanced” FireStick on the TV it’s being connected to took some time as I had to use Google Translate for the initial set up before changing any language preferences. The majority of the apps are now in English after figuring it out, but as you can see in the display picture the main headings CANNOT be changed to English! Probably made in Mexico instead of China...Will change my rating if Amazon reaches out to resolve this annoyance.**Update** somehow fixed itself. Called customer care back after they reached out to me and was going to walk me through technical support, but no longer needed. 3 days later now all English...guess it was space dust (?) Giving it 4 stars from 1, since still gave me that bandito scare from install.",Bug fix?,Configuration: Fire TV StickVerified Purchase,187 people found this helpful,576,17,108174,Public
Avi Sadykov,/gp/profile/amzn1.account.AGBHO6TWRHIZXTJE6ZLRCVZYOFNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",3,13,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"We owned the initial firestick and had used it regularly for years. A remote issue forced us to replace the unit, and I'm so glad we did! The responsiveness and speed of the new version is amazing! No more lagging or double click. The new remote is also a huge upgrade with the voice control option. It's a must have! Then we got the third edition and it works even faster then the second edition (They say 50% faster).",Great upgrade over the second edition Fire Stick,Configuration: Fire TV StickVerified Purchase,174 people found this helpful,154,7,62589945,Public
EugeneG,/gp/profile/amzn1.account.AHR34GZOTSNGJKTPYXMZPY4WF36Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",0,45,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,dOES NOT DUPPORT 4K UHD RESOLUTION ...WASTE OF MONEY,THIS ONE IS NOT 4K STICK,Configuration: Fire TV StickVerified Purchase,145 people found this helpful,195,25,2052032,Public
mgoblue1984,/gp/profile/amzn1.account.AFEHN4WH75HDFD3PF5P4JJVN5TCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2020",0,12,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Replaced an older Fire Stick (hardest part was squeezing my hand behind the wall-mounted TV). Easy set-up, and now replaces the TV remote with the new Fire Stick volume and power features. Excellent product!",Significant Improvement - easy upgrade,Configuration: Fire TV StickVerified Purchase,141 people found this helpful,64,12,78869920,Public
Victor Ferrer,/gp/profile/amzn1.account.AHQYL2BLZGQP72YVC5VFDDZMXCMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 7, 2020",0,6,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Disappointed. I’ve typically had great experiences with Amazon Fire TV products but this one was very disappointing. I installed it on my TV, downloaded all my apps, tossed out the box, and everything was working fine - so I thought. The next day I turned on the tv and for some reason the Firestick wasn’t responding, so I unplugged it and plugged back in and it started working again. I thought maybe this was a one off incident, but then it happened 5-7 times more since. Very infuriating because I can’t return or request a replacement because I already tossed out the box, assuming that everything was working fine.",Unresponsive at times,Configuration: Fire TV StickVerified Purchase,59 people found this helpful,59,27,2093198,Public
Amazon Customer,/gp/profile/amzn1.account.AH7SX2VLFRMZDZFPUD4LPIBKOZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 7, 2020",0,1,https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"It was exceptionally difficult opening the remote to install the batteries. Believe that I have a “fix” for the issue. Amazon engineering should review this procedure for safety and effectiveness. Many peoples first impulse is to go for a knife or a screwdriver. I assume no liability if someone injures themselves using a knife or screwdriver.1.  Put on a pair of latex gloves.2.  Following the instructions, press hard on the cover (which happens to be constructed with a very stiff plastic) and push it towards the rear of the remote. Little by little the cover will start to move a mm or so at a time. This is a difficult step. Do not under any circumstances  be tempted to use a knife or any other tool which might cause injury to yourself or damage the remote.3. Continue (2) until the cover slides completely off.4. Do not install batteries yet. IMPORTANT.5. Place the cover back onto the remote and and carefully slide it to approximately 2mm of being closed. No force should be required at this point. If cover locks up again go back to step (2) and repeat.6. Repeat sliding the cover back and forth 20 or so times. This will remove any tiny burrs on the cover of the remote.7.  Open completely and install batteries following the instructions.8. Cover should now slide open with minimal effort.",Rescind my previous 1 star rating to 4 stars.,Configuration: Fire TV StickVerified Purchase,46 people found this helpful,1095,47,782438,Public
