author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Mermaid,/gp/profile/amzn1.account.AHPODJ3CHCFLR65MQHC4AYZ77ZRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 21, 2017",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I ordered two of these - blue and orange.  They're just the same except color.I removed one star because of the price... these are pretty pricey.  I paid several dollars less for similar ones (different colors / pattern) at a local chain store and I found absolutely no difference in quality between these and those.  They''re even the same brand and in the same box.But if you decide to purchase these for the convenience of having them delivered to your door, here's my review...I purchased these for a six-day long vacation because I needed floats that would be lightweight and pack up fairly small.  These are perfect for that.  They pack smaller and weigh MUCH less than full-length inflatable floats.I was surprised at the quality and durability... they were excellent about holding air with very little to no leakage.  They're also easy & quick to inflate.I used them in pools and also at the beach in the protected waters near the shore.  (I am NOT advising anyone to do that... I am just telling you what *I* did.)  I weigh about 165 and they held me up well.  I never worried about tipping or going under.  I'm confident that they'll hold up ~ 200 lbs. with no trouble.  Maybe more.I think this is my favorite type of float because I could sit / recline on them but my midsection was slightly submerged.  It's much easier to keep cool that way!  Also, I find that they are easier to get on and off of than the usual full-length floats.  That's just me, though.  Your mileage may vary. :)Anyway...Reviews have helped me make LOTS of great choices, warned me about not-so-great ones and probably saved me from wasting money! I try to repay the favor by writing detailed, helpful ones. If you feel like this review has been helpful, please let me know by clicking the yes button below. Happy shopping!",Sturdy and easier to pack than anything else I've found so far.,Color: Blue LightVerified Purchase,"2,379 people found this helpful",,2830,6425,127,Public
Tranceformer,/gp/profile/amzn1.account.AEKCJL62YWQCCXBQ5PLU55QI3XVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 27, 2017",2,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Please see picture for proof!!!The quality is great... There's a chemical smell into it but that's not surprising...It works 4 in 1 really!!! I bought 2 to DR and no regrets at all!!Other reviews have issues putting air... it looks like it's complicated but this thing would work even if it's not fully blown...  and when i tried it in the water, it actually works!!!If useful, please help a sister by clicking ""helpful"" :)",Light and great for travel and most of all sexy for the picture and gopro videos!!!,Color: Pink – HammockVerified Purchase,"1,716 people found this helpful",,8827,2548,335,Public
J. W.,/gp/profile/amzn1.account.AEJTR6XEDINVMFRJMJJD6BHZVK4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2018",2,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is the most dangerously comfortable pool float I’ve ever been on. Purchase with caution!You will not want to get up/out of the pool. I may not get to my Netflix binging this summer.  I already fell asleep in my pool and got a little sunburn.But seriously, this was exactly what I was looking for. I live in southern Louisiana and the summers are brutal.  This fluid keeps enough of your body under water to keep you cool. It also supports your head nicely with out being uncomfortable on your neck. My knees come out of water a little more than I would like, so I under inflate that side and it’s fine.Yes, I did find the exact same product from the exact same company at Walmart for $3 cheaper. Of course I bought it. The Walmart version has cuter colors, but the mesh part is scratchy. The float I bought here is very soft.  My opinion, it’s worth the extra $3. I would dock this product one star for the significant price differences based on color, but the function is spot on and that is why I bought it. My dog loves it, too. 5 stars it is.",Beware: super comfortable,Color: Blue LightVerified Purchase,544 people found this helpful,,306621,613,80,Public
Kendall B.,/gp/profile/amzn1.account.AGSTQ3JDGW2TZB5XKBF7PD2DJOKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 13, 2017",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"LOVE these floats!!!  Purchased two colors.  I was looking for something perfect for drifting around a Lazy River (which we did around 100 times over the past week of vacation!  LOL) and these fit the bill.  They are very easy to use, incredibly versatile and really well made!  They did their job and did it well.  Fantastic price for a fantastic product!  My parents loved them so much that they've already purchased their own for our vacation NEXT YEAR!!!  We left a day earlier than the rest of the family, but my parents begged us to leave these behind for their use.  FYI- I'm 240 and 5'9"", my husband and father are 280 and 6'.  These held all of us up in the water.  Used these as a reclining float, a saddle style float, and a hammock style float.  Loved them all!",Highly recommend this product!!!  Fantastic!!!,Color: Pink – HammockVerified Purchase,342 people found this helpful,,5950,1601,1602,Public
Geenza,/gp/profile/amzn1.account.AGDAP55425KECDGICG74HLK22QHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 4, 2018",2,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Ok... I did my research and believed the many that swore to this raft for travels.  I am here to add an exclamation point to all of the positive reviews about this amazing raft.  I will, also, humble myself (and throw my hubby under the bus) by posting pictures as proof.  Neither of us are bathing beauties, but YES!!! These brilliant rafts even held us up.  I’m 5’10” and weigh more than 150.  My hubby is 6’2” and... hmmm... weighs more than me. ;) Don’t think about it any longer.  Hit the ‘purchase’ button NOW!","If I could rate this a 10, I would!!!",Color: Orange – HammockVerified Purchase,287 people found this helpful,,98070,339,141,Public
Kryssy,/gp/profile/amzn1.account.AGHM5PJ25ZY3S5GLL4GGMWY5IY4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 17, 2018",4,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I bought two of those for a trip to Hawaii since I wanted to bring some water floaty that would be light weight, compactable, and small. This was perfect! They are incredibly light weight, and they fold flat like a pair of jeans. They take only a few seconds to blow up and deflate. The material also felt very high quality.  They don’t feel like it would puncture easily and the seat doesn’t feel like it will tear. And I used them near rocks that I scraped against, and it was fine.You can also use these for multiple ways is sitting/ laying. You can sit in it like a chair with the floaty sides under your armpits, you can lay on it like a bed with your head on one floaty and the back of your knees on the other, or you can sit on it like you are riding a horse.I weigh about 132 and my husband about 180 and it held both of us fine. But it would not support both of us on one.",The most perfect compact floaty!,Color: Blue Navy - HammockVerified Purchase,230 people found this helpful,,34549,907,130,Public
Rod O.,/gp/profile/amzn1.account.AFOXIPPGUTBZO4UOCXTRAH5YREDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2017",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,6'2 240 and it worked perfectly fine,kept my big butt afloat,Color: Orange – HammockVerified Purchase,358 people found this helpful,,85024,643,126,Public
Chris L.,/gp/profile/amzn1.account.AHY6BH46R7WMYFKEKMKFBGG43J6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 30, 2020",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Fellas (and ladies) you will not be disappointed in your purchase!  I had previously purchased many of the discount store floats over the years with little to no joy for my wife.  She would always complain that they were uncomfortable, too small, stuck to her, etc.... She was never happy (unless she had a cookie sheet of loaded nachos in front of her).  You see...My wife is a fairly large woman by most livestock comparisons.  We cant go to a county fair without someone putting a bid on her.....THAT big.Well I got this float and after blowing it up, I was a little skeptical.  I thought no way was this going to keep her afloat.  I even purchased the box with the guy on it, because the woman on the other box was about 1/10th her size.  To my surprise she got on and started bobbing around the pool like a tugboat trudging through rough seas.  In my mind there was no way this would last.  5...10...20...30 mins and that float was still.....FLOATING!  2 hours later, when it was time for dinner, my wife was finally willing to get out of the pool.  She came charging out of the water like an Orca coming on shore to ravage a seal and this float didn't skip a beat.It is sturdy, durable, and still going strong after several weeks.  Except for the chicken wing sauce and the French fry grease she got on it, it looks and functions as it did on day one!!!Don't miss out on this one!!!  Your sexy wife will thank you!!!",WOW!!!  I am in total disbelief!!!,Color: Zero G Pool Chair Blue FernVerified Purchase,48 people found this helpful,,902127,62,10,Public
Kathleen A Crowley,/gp/profile/amzn1.account.AE3FFTOPYNFVFCYHTFC3B4E3E5VQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2019",1,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Let this be a tale of caution for all of you that will use this on the lake:  YOU WILL GET TOO COMFORTABLE AND FLOAT AWAY.  This float rocks. In the picture you see I finally got smart and held onto a rope so that I didn't have to get a full Michael Phillips workout in to get back to the boat at the lake.Excellent purchase:  easy to tote, easy to inflate, multiple ways to hang out on it:  sitting like in a chair, horsey-style (lol), or laying out like in the picture.  Love it so much that I purchased 3 more.  Durability has been good so far---gave that 4 stars for now.Husband is 6'2 and 240 lbs---no issues.  I'm not putting my weight here.  Look at the pic and give it your best guess.  Kidding.  Don't do that.  Let's just say I'm not 130lb, but not 230 either.  The other reviews on the durability, etc, seem to be spot on.For my lake folks out there---get a rope if you don't have one.  Seriously.  I fell into the best nap and almost couldn't find the boat.  The kid on the jet ski was nice enough to splash me without fulling taking me out, so I got that going for me.  Lesson learned.",So good I floated far from the boat....lol,Color: Blue Navy - HammockVerified Purchase,44 people found this helpful,,1955378,57,23,Public
Nicole DeMo,/gp/profile/amzn1.account.AESFALCRNAIP3JUA2NEZGMBWIMRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 23, 2020",4,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I would give this zero stars if I could. I ordered the deluxe hammock in July and it is amazing. Canvas material, sturdy mesh, handles, bag. It's perfect. So perfect, I came back in August to buy another. What I received on the EXACT same order was the equivalent of a piece of plastic. It came in a clear plastic wrap, not the same packaging as the name brand. It was the same print, but was terrible odorous plastic material, with a terrible mesh. No handles. No bag. I am appalled at this level of bait and switch and fraud for this knockoff.  You can see the knockoff versus the actual product in my photos.",Knockoff - Fraudulent - Misleading,Color: Hammock Navy & GreenVerified Purchase,32 people found this helpful,,4312193,32,2,Public
