author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,Unnamed: 11,helpful_votes,total_review,visibility_status,ranking
JP,AHUS4QJJA34E3RF4CRRUHQE4GN4Q,"Reviewed in the United States on August 31, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,3.0 out of 5 stars,It's a pain to clean this thing.,Nope,Style: No HandlePattern Name: 1 16 OunceColor: Stainless SteelVerified Purchase,"1,161 people found this helpful",,1244,44,Public,60449
Sinister Serenade,AGJGY6KU6QZYP7D7WVYPCJK6UJJQ,"Reviewed in the United States on June 28, 2017",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I will start this review by saying I have 4 great loves in my life: my husband, my son, my pets, and now my Contigo Autoseal Travel Mug. I bought a 16 ounce mug in Radiant Orchid, and I don't have one single complaint. Like was mentioned in one review I read, if you follow the clearly written instructions that are included with your mug you should have no problems whatsoever. ""Funny taste""? WASH YOUR MUG LIKE IT SAYS TO DO! Leaking? FILL YOUR MUG AND CLOSE THE LID LIKE IT SAYS TO DO! ""My beverage is hot!"" Well, dummy, YOU put the beverage in there and the mug is designed to keep it hot so what do you flippin' think it gonna happen?I love that it is autoseal because I am often walking into work with an armload of stuff and now I don't have to be concerned with keeping my mug upright while I fumble with other things. There is also no longer a rush to chug my coffee before it gets cold! I'm currently sipping on hot coffee that was poured at 7am this morning. It is now 9:52am.Mug praises aside I come to you with a sincere warning to pay close attention to the source of the mug you choose.MY mug was distributed by Amazon so I had no problems whatsoever. However, I also purchased a mug for my husband at the same time through a third party that is long overdue to arrive, and I can't get a reply to my e-mails.","Love the mug, but make sure it ships through Amazon!",Style: No HandlePattern Name: 1 16 OunceColor: Radiant OrchidVerified Purchase,107 people found this helpful,,945,222,Public,24262
Savannah Valentine,AELMCEJCQ5PQBIFEQRJIKPXBV6FQ,"Reviewed in the United States on August 8, 2019",1,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"The marble pattern is so pretty and elegant, plus it goes with all outfits. Definitely leak-proof. I throw it in my purse during my commute to and from work (with a lot of coffee in it) and not a single drop has ever come out.",Definitely leak-proof!,Style: No HandlePattern Name: 1 1 Count (Pack of 1)Color: White MarbleVerified Purchase,34 people found this helpful,,47,6,Public,3868893
Diana G.,AH7YNW6VQKUMDHOGW7BUWKJ4UUKQ,"Reviewed in the United States on November 7, 2016",2,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I've had this thermos for about a month now and I am very pleased with it. I put my hot beverage of choice inside the thermos by 5:40am (what am I doing up so early?) And at around noon it is still nice and warm (not piping hot, but definitely not cold or even tepid) so that's give or take 6hrs. I have repeated this exact ritual nearly every day and it will always be deliciously warm at noon time. By the by, when I pour my beverage into the thermos it is piping hot, meaning if i were to drink it, my tongue would sting, but not really get ""burned"".  My tips/warnings:  - If you get one of the colored ones the paint WILL come off if you wash it in the DISHWASHER. I know some people were complaining about that, but in the safety manual it clearly states that only the unpainted stainless steel bottles are dishwasher safe.  - Wash it the way it shows you on the safety manual for optimal cleanliness.  - Rinse it right before every use. One time, there was some soap residue left over in my  lid and I ended up with gross soapy tea, so unless you're into that just run the lid under warm water.  - DON'T tilt the lid and THEN press the button to open the sippy cup or you'll get a face full of hot liquid. In other words, press the button while the thermos is vertical then tilt it to take a sip. This may seem stupid, but I had no warning (maybe I'm just an idiot) and now no one else has to look like a complete goof if it happens in a public setting.That's it for now, if anything else comes up I'll be sure to inform you guys.",Tips and overall Review.,Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,"3,057 people found this helpful",,526,41,Public,797022
Kindle Customer,AGT5BW7GOID4FU26544IXCW4BNAQ,"Reviewed in the United States on January 28, 2019",2,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Purchased this set of cups.  One of the lids had an obvious manufacturer defect, as it broke off at the rim right where the ""push to clean"" button is.  This caused the lid to leak, which is a potential burn hazard if the cup contained a hot beverage.  I reported it to Contigo not once but twice, with photos attached, because there is a LIFETIME GUARANTEE.  Contigo never bothered to respond to either message.  My advice:  don't purchase their products.  The lifetime guarantee means nothing.",Contigo lifetime guarantee is a joke!,Style: No HandlePattern Name: 2 16 OunceColor: Stainless Steel/MonacoVerified Purchase,280 people found this helpful,,3335,12,Public,3906825
MommaB,AFENV7ZYW5QHNJBQ77SIPYF3TINQ,"Reviewed in the United States on October 11, 2017",3,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"UPDATE: Though I love the construction and performance, I do want to address the elephant in the room that SO many people have asked about — the smell!! We’ve had it a few months and despite regular cleaning, it DOES stink, no matter what I do. Vinegar, dish soap, baking soda, cleaning with a tiny wire brush, nothing has fully rid us of the “old creamer, burnt coffee” stench. I’m really bummed...but this may be a 4x per year purchase in order to keep it safe to drink from.[Independent, verified, no compensation received for this review.]Coffee addict’s MUST HAVE! I’ve been through 6 different mugs in six months. They’ve either leaked, broken the flip-tab, were hot to the touch, didn’t clean easily, or just didn’t keep coffee hot longer than 30 minutes. This mug does all of those things and I couldn’t be happier, because I was ready to give up. That list above also includes another Contigo 16 oz. mug...kept things hot but the slider broke after 2 months and it was impossible to clean. But I digress...There was nothing negative to report about the features or performance during the month-long, multiple daily use “testing” phase, so here are the results with which I was most pleased.• Incredibly easy to clean top. Yes! No more waking up after hand washing the night before, ready to pop the top on, only to realize there’s a colony of mold setting up shop right where my mouth will be. The stopper piece that detaches for cleaning also comes of very easily and snaps back into place with no effort. You can put the lid on top rack of dishwasher but I’ve heard that before and am not willing to risk it.• Truly one-handed operation. No having to balance the steering wheel on your knees while you lift with your right, pop lid with left, and try to sip-flip-replace while trying not to spill and focus on the road.• No-spill claims are actually TRUE this time!• Stylish, modern appearance.• Heavy-duty without looking or feeling like it.• Description claims the 20 oz size keeps hot for 7 hours, but I have the 16 and after six hours the contents were about half as hot as when made (78 degree room). Pretty impressive.In short, buy this mug. Don’t spend $80 on a fancy thing when this sleek silver mug will do the job just as well if not better!Please let me know if this was helpful, thank you!",Updated...—-Coffee Snob Approved —-,Style: No HandlePattern Name: 1 16 OunceColor: Stainless SteelVerified Purchase,437 people found this helpful,,1584,68,Public,77494
Siobhan,AHRTVGI2BZG5L5E7RTVGWUYKRQHA,"Reviewed in the United States on February 13, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"I have had my larger contigo thermos for 4 years and purchased this set for my husband at Christmas. BOTH have broken already. The spring mechanism is weak and we are so incredibly disappointed.  I've raved for years and will be contacting the manufacturer. Today, the lid wouldn't seal and I ended up covered in hot coffee while out at a museum with my twin toddlers. Everything in thr diaper bag reeks and some items were ruined. Nightmare!",Quality has plummeted...,Style: No HandlePattern Name: 2 One Size (Pack of 2)Color: Stainless Steel/Very BerryVerified Purchase,100 people found this helpful,,152,11,Public,3244010
ling,AGMY7TZSMTRGJ4BFEQLKBZLWBZKA,"Reviewed in the United States on August 18, 2019",2,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"This is truly leak proof. When I first got it, I was confused as to how to get coffee to come out of it. I thought I just had to press the tab on the top of the lip to unlock it and coffee would come out. Nope. I finally figured out that you have to unlock it and press on the button that’s on the side to release the coffee. After this ordeal, it’s safe to say this is pretty air tight.There’s also a thing to push under the lid for when you want to clean it, which is pretty convenient. Overall, it’s a great product. It’s sturdy, keeps my coffee warm and is worth every dollar.",The definition of leak proof,Style: No HandlePattern Name: 1 1 Count (Pack of 1)Color: White MarbleVerified Purchase,49 people found this helpful,,3057,1,Public,14206312
E Miller,AGNHRAZTHZMZEHAREENNO45M3Z6Q,"Reviewed in the United States on February 1, 2019",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Buyer beware.  They advertise a life time warranty for their products, but I submitted 3 requests to replace a defective lid that started leaking.  Only after the third attempt did I even get a reply from Contigo, but they then failed to follow up after I submitted all the necessary information (multiple pictures, order number, etc.)  Only after going to social media to express my disappointment did I get further follow up which was also eventually ignored.This company doesn't seem to stand by their product or their, so called, life time warranty.  Only purchase a mug/cup from them if you're comfortable paying full price for a replacement if it ever leaks.",Does not honor warranty,Style: HandlePattern Name: 1 1 Count (Pack of 1)Color: GunmetalVerified Purchase,56 people found this helpful,,287,11,Public,856714
Amazon Customer,AFCASZDWYKJJAUVVKHMKY5RDFRNA,"Reviewed in the United States on June 28, 2019",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,3.0 out of 5 stars,"I have pretty bad hands with poor grip strength. The button is basically impossible for me to press with my finger tips. I assumed it would be a very easy button, but you have to completely press the button all the way down to get a good flow of coffee. I had to give it to my friend.",Don’t buy if you have arthritis,Style: No HandlePattern Name: 1 14 OunceColor: Blonde WoodVerified Purchase,51 people found this helpful,,6914,165,Public,6933
