helpful_votes,ids,total_review,visibility_status
25625,amzn1.account.AGS6HKYNXMJR7UT6XFJGZJUGSGTQ/,1600,Public
4617,amzn1.account.AHWJK2MIJCNJIRL2LPATMKAU4IRQ/,261,Public
134,amzn1.account.AFAVZ4AZR4JNADEHFZGLLLM67R4A/,3,Public
159,amzn1.account.AF7FPPLQOJ5ITF22AEOFKKJTWYSA/,108,Public
1313,amzn1.account.AH6254TYJ3FKABYHVPVE5EDGEDJA/,188,Public
296,amzn1.account.AEK32C5KMGXS6FM4TAWN6RUY3B7Q/,202,Public
172,amzn1.account.AGQ5YPFJQWACE3JHYESJMCTEGQSQ/,69,Public
232,amzn1.account.AEYIH2MWU2SBIOW73RWULYOJG3CA/,116,Public
13,amzn1.account.AFS43PH6M5DUPLY5MLH7XK3M2BZA/,10,Public
41,amzn1.account.AEGGKKJ33RMHJ2TS4Z2LOH4QGE7Q/,48,Public
28,amzn1.account.AF4JSGUITCREI4TDS4YXAIRCJTFQ/,48,Public
189,amzn1.account.AGT37KSDWR4TQWQSDIANHQRLSLRA/,53,Public
252,amzn1.account.AFGBGCR7EGTVJOMKK4CTWK7USKFA/,211,Public
959,amzn1.account.AG4QQ3CXLV427CW7XM3X3MILYI3Q/,489,Public
15,amzn1.account.AEANWX5QEZPZKAADCTRBCEUCSZWA/,16,Public
30,amzn1.account.AGYC4ZOFAKDDHEZKIXAJJMCHNXVA/,18,Public
597,amzn1.account.AHCSIIZPVNIWBDGV5M5LQ5SAJNVA/,278,Public
2242,amzn1.account.AGANKYJ6D2VIOOGVEFFWZRBSHLLA/,552,Public
1110,amzn1.account.AH3UKVG6BNV3IALS6KTFYJEYFSMA/,64,Public
362,amzn1.account.AHK4EZVQMQWNJOSAQZHLYFT2GD2A/,168,Public
20,amzn1.account.AGSLWVV24UMOFH2RL4LCGN6SM2QQ/,50,Public
1,amzn1.account.AGYXVBQAXFAUUOXZ5S36RPXGSD6Q/,20,Public
337,amzn1.account.AF3NKBASOAHQQQ4XTWEVHKVNCNMA/,119,Public
38,amzn1.account.AEPINBCEDU5QLU6BGEUYZPUXW6ZA/,53,Public
