author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,helpful_votes,total_review,visibility_status,ranking
brushnew,/gp/profile/amzn1.account.AHQ2FIHBO55MYSAPCZ5HPX7I4GWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 17, 2021",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Since the update of April 2021,  every time I try to open the game on my Kindle Fire, I get an unknown error message.  It says it can not connect to the Appstore because of this unknown error.  My game well not open. I had numerous boosters and gold coins which I fear will disappear when I can finally open my game.  An update should enhance the game, not shut it down.  FIX It!!Its now June 8.  There  were two updates in May that did not address the problem of the app opening on a Kindle Fire.  FIX THIS PROBLEM!",Fix What the April Update Broke!,Verified Purchase,23 people found this helpful,,,65,27,Public,15004890
p.k.,/gp/profile/amzn1.account.AG7OBIKBVHMPUCWLCAQ7EFSBPGAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,Does not work on Kindle Fire. Keep getting App store error. Lost all my boosters by trying to reinstall and now it won't even load!,What happened to Candy crush on Kindle Fire?????,Verified Purchase,5 people found this helpful,,,24,1,Public,
LOLO,/gp/profile/amzn1.account.AHWC3NRL5PAAPQYD7QFRVLF544DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 16, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"It's okay, but I like it better on the iPhone, because you do not have to constantly buy power pills. Totally different experience",Candy Crush Saga,Verified Purchase,5 people found this helpful,,,22,26,Public,10856600
Susannah,/gp/profile/amzn1.account.AHFINXRG7MSQIME26NGYVPMCJHLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 4, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,I really like this game but I wish I didn't have to buy boosters in order to complete some of the levels. As I get further along this happens fairly often. By the time I get to the end of all the levels I will have spent quite a bit of money on this free game.,Entertaining and Fun,Verified Purchase,2 people found this helpful,,,12,8,Public,82652689
Kristen B Miles,/gp/profile/amzn1.account.AFMKKZBZFJWQCVLDLPQME6UUYPGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 24, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,FINALLY on the Kindle. I love it and play it daily. Thanks. Much bigger and Easter to Dr then on my small phone!!!!,Awesome fun game,Verified Purchase,3 people found this helpful,,,4,28,Public,7114798
Nelia Madeira,/gp/profile/amzn1.account.AG2BTPNI2OI2QR6YG3ZWUCM4DOYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 27, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,It was addicting so I had to delete and drive myself away from it...,Addictive,Verified Purchase,One person found this helpful,,,307,537,Public,83796883
t-hay,/gp/profile/amzn1.account.AHTTWUXDYKTRHYVEEN33TDYVIPUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 27, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,hate that you have to wait to get lives back....... but that maybe good could be playing longer than I should.,fun,Verified Purchase,One person found this helpful,,,10,29,Public,6362503
Kindle Customer,/gp/profile/amzn1.account.AFU6DOQW72CQLJ6WGZAYAFWPWSPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 1, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I should have listened. This game is addictive, and I'm spending all my time playing it. Very simple, yet very challenging.",addictive,Verified Purchase,2 people found this helpful,,,17,15,Public,21059783
KL,/gp/profile/amzn1.account.AGB5J4XGTZLL4HTOG3V4WW6IWJXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 21, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Fun, fast challenging game that you don't always advance in....Great to play while my husband is watching March madness on TV...",I like it a lot !,Verified Purchase,One person found this helpful,,,12,23,Public,6344237
Mary E. Strayer,/gp/profile/amzn1.account.AFHY67FODG5GXMV6ND3IJZ4JONCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 7, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,I deleted, will not pay for games.,think about this,Verified Purchase,,,482,56,Public,82903593
