author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,ranking,visibility_status
Tmk4,/gp/profile/amzn1.account.AHQSM24LPWA7COFVB3PBPEGDXMQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 9, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,I love it so much :),I love it so much:),Verified Purchase,49 people found this helpful,,134,15,82996413,Public
Sh,/gp/profile/amzn1.account.AFFXOPZRYOFD2JFHLX4QOECBEKQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 31, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,This has to be the best sonic game created,Hi,Verified Purchase,59 people found this helpful,,62,35,2243345,Public
Amazon Customer,/gp/profile/amzn1.account.AGAFRED373QX5ZJVYMY4DKNSI4YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 14, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,1.0 out of 5 stars,New update I couldn't get it  and it wouldn't let me in.,Could not get in,Verified Purchase,12 people found this helpful,,25,6,82816796,Public
Mrs.L,/gp/profile/amzn1.account.AGREGSL73J3NF2NDJAWZ3JNB7JJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 19, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,5.0 out of 5 stars,I love love sonic speed forces I play it all the time,Good,Verified Purchase,21 people found this helpful,,21,3,22698630,Public
Jen,/gp/profile/amzn1.account.AHWOKZZK3O7SLPJI643DPPCEJH3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,My son loves this game. Would play for hours if I didnt stop him. Loves the classics,Classic,Verified Purchase,45 people found this helpful,,87,61,634575,Public
Thumbkin70,/gp/profile/amzn1.account.AEMDRVDPKSGPZ4VYULWYXICKEUVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 6, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,"The kids love the game, it’s cute.",Good game!,Verified Purchase,40 people found this helpful,,146,499,809597,Public
Amazon Customer,/gp/profile/amzn1.account.AHRKPJ7TXQZNQBRXRQPNM5HPZIYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,It's the best sonic game I ever played. Good job,This is the best,Verified Purchase,21 people found this helpful,,62,3,14621259,Public
Kristen Cox,/gp/profile/amzn1.account.AGR6JTPUJCXGPHMD4HYP2GKNCJ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 25, 2017",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,What's this it's so coollllll!!!Best app I've seen yet!!!It's like pokemon but in a sanic version!!!! COOLBRUUUUHHHHH,Awesome,Verified Purchase,13 people found this helpful,,14,6,23984712,Public
Nahshon Shannon,/gp/profile/amzn1.account.AFPG2NXHWQN4VM2L6JVUPC4KX3LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 7, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,You should get it,Super good game,Verified Purchase,28 people found this helpful,,51,2,13341111,Public
M. Wills,/gp/profile/amzn1.account.AHZYSGP7TLFQTLZXR2PTYVSCZSMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 20, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,baby like,Five Stars,Verified Purchase,17 people found this helpful,,100,160,3243277,Public
Summer Gonzales,/gp/profile/amzn1.account.AGDRXL5ZPPD6CCLZEEOY6TZHOMLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 4, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,Good,Good,Verified Purchase,15 people found this helpful,,43,55,83608214,Public
Amazon Customer,/gp/profile/amzn1.account.AHN2B62B53SKJQUSEKGD67QVKRQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 28, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,Great,Great,Verified Purchase,18 people found this helpful,,198,118,480769,Public
Rosemarie Roberts,/gp/profile/amzn1.account.AGSD3KIFOWF7EZOVQ2IIRIAQBDFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 13, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,The best sonic racing game ever,The best sonic game,Verified Purchase,7 people found this helpful,,8,7,82721050,Public
D,/gp/profile/amzn1.account.AG5SWNXAVG5QRDMLDVCCUYC7MHBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 3, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,5.0 out of 5 stars,This is a nice game and whoever made it had a creative mind! 😉☺😀😍😘😎,Nice,Verified Purchase,21 people found this helpful,,54,48,451299,Public
Nai,/gp/profile/amzn1.account.AH6OT3NETZHMXZWPAEI2T4NXU3FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,My kids love it.,Five Stars,Verified Purchase,31 people found this helpful,,1637,181,111056,Public
Chad Wallis,/gp/profile/amzn1.account.AGX3F2XXXXW4YWOMHHC2BPHTNLVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 14, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,4.0 out of 5 stars,Only just started but it seems great!,Fun so far!,Verified Purchase,21 people found this helpful,,21,1,58376837,Public
Bebe,/gp/profile/amzn1.account.AEJA6L7T2RZAPCFHBYQOZLEI7B7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 7, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,"Love this game,very challenging.",Sonic: speed battle,Verified Purchase,35 people found this helpful,,75,8,3441325,Public
Wendy,/gp/profile/amzn1.account.AFRRNIWQS7RPKHKNIUQ2LQN4BISQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 16, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,3.0 out of 5 stars,Down load this app if u like strategy,Its ok but not amazing,Verified Purchase,14 people found this helpful,,24,7,8625270,Public
Queen,/gp/profile/amzn1.account.AHLY32HFF5AY5ARPRKCGGWXGGQ5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 26, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,My nephew downloaded this so i guess he likes it?,M,Verified Purchase,34 people found this helpful,,61,45,745334,Public
Amazon Customer,/gp/profile/amzn1.account.AEK2I3M5RWKP3D2PG3QH6BLPA7XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 20, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,"I haven't gotten the update yet , y have the update come out yet.",Sonic forces speed battle,Verified Purchase,17 people found this helpful,,94,8,11093761,Public
Amazon Customer,/gp/profile/amzn1.account.AGES4FJVKPCDVTC6E3FQD26AAFZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 21, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,"Hey guys what's up, I just wanted to say this game is the best sonic game I've played yet , you collect cards to unlock characters and yeah , I just recommend on getting this game.",best sonic game yet,Verified Purchase,78 people found this helpful,,78,6,4579181,Public
DARRYL R GRANT,/gp/profile/amzn1.account.AECM6VBSU6OFITKSBKWHXDSABHGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 23, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,My son enjoys this app.,Its FREE,Verified Purchase,18 people found this helpful,,23,13,16100743,Public
Amazon Customer,/gp/profile/amzn1.account.AEDVU7RQE2SGLTRZDVTB2WT4ITHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 3, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,Cool sonic best online game ever,Awesoe,Verified Purchase,21 people found this helpful,,46,6,18528347,Public
Rachel,/gp/profile/amzn1.account.AGNFCUNET2VXUIB43E7JW4D6M5PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 12, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,5.0 out of 5 stars,Best game I've played!,Fun game,Verified Purchase,14 people found this helpful,,14,2,15723715,Public
Judy F,/gp/profile/amzn1.account.AGRULDG6ANQDXUWLJGGV55TZVZWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 23, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,5.0 out of 5 stars,Sonic fast.,Yellow,Verified Purchase,15 people found this helpful,,19,22,2413321,Public
Priscilla Castillo,/gp/profile/amzn1.account.AHEDDZP55CM6FM3YE6HMJ3JQ77LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2017",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,5.0 out of 5 stars,Good game it's hard but good 👍 🎮,My rewiew,Verified Purchase,33 people found this helpful,,114,6,8424041,Public
JANOAH,/gp/profile/amzn1.account.AFX2K5H6A33WI35NH2Z4KT73EEOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 17, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,4.0 out of 5 stars,This is good,Four Stars,Verified Purchase,31 people found this helpful,,129,18,83075708,Public
dantdm,/gp/profile/amzn1.account.AGJXAIG6KKYMCJSFEJLHA63QD52A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 2, 2017",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,5.0 out of 5 stars,Really good job sega,Good,Verified Purchase,40 people found this helpful,,216,16,5035322,Public
hezekiah m. grice,/gp/profile/amzn1.account.AGM5HMSKT64GJUJAJYTUAMCFXAEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 5, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,5.0 out of 5 stars,"Best sonic game I ever playde😎👍,",Matt,Verified Purchase,108 people found this helpful,,108,6,5570327,Public
Dex,/gp/profile/amzn1.account.AFCI7M7PA3X4JJNVBPOHMAVTC5TA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 3, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,4.0 out of 5 stars,IT KICKS ME OUT EVERY 5 GAMES!!!!!!! 😣😣😣😣😣😣😣😣😣😣😣😣,Good game but it KICKS me out,Verified Purchase,8 people found this helpful,,8,1,44254603,Public
Olivia Cline,/gp/profile/amzn1.account.AFKPOMZWJ6TNTUKQRSV2PKKECRCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 17, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,4.0 out of 5 stars,The multiplayer aspect makes it stand out as not just another Sonic endless runner and the unlocks feel spaced out well.,Clever multiplayer,Verified Purchase,51 people found this helpful,,54,14,2502339,Public
Ame Trumbell,/gp/profile/amzn1.account.AGPMOJPDU7WQ25ZKD4PG2HI7V3VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 7, 2017",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,4.0 out of 5 stars,Alot of fun but there are to many obstacles that you have to avoid so its overwhelming when other players are attackimg you AND your trying to avoid obstacles. But a fin game none the less,Fun game but to many obstacles...,Verified Purchase,17 people found this helpful,,1580,19,2724737,Public
Patricia,/gp/profile/amzn1.account.AH76BU6JYUM736F7BLVO3FF5VZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 18, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,5.0 out of 5 stars,If u 💙 sonic forces play this.  I,Awesome.,Verified Purchase,35 people found this helpful,,190,5,82648244,Public
Kindle Customer,/gp/profile/amzn1.account.AHESI7FLQHQJ3FQU52LWRORL5HSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,5.0 out of 5 stars,"Great music, thrilling graphics and related to Sonic dash but with 4 players each in each run",An addicting game,Verified Purchase,8 people found this helpful,,8,1,37182870,Public
F rivera,/gp/profile/amzn1.account.AHZTITT4D54TMU3RDVME5UXXYFDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 12, 2017",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,5.0 out of 5 stars,Awesome game I love it.it's one of the best sonic games I've played. so please download it!,Awesome game and well made,Verified Purchase,32 people found this helpful,,46,5,19654997,Public
elmostafa talha,/gp/profile/amzn1.account.AHSVVHOAB6VDEG2W2GSTJ4AGKWQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 6, 2017",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,4.0 out of 5 stars,We don't have Infinite as a character yet. But despite all of that... Still an awesome game! Happy Holidays Sega.😊,Amazing but...,Verified Purchase,75 people found this helpful,,81,18,1050334,Public
Daniel Salgado,/gp/profile/amzn1.account.AGCB3ATFC3DEU4MAFCBYBY37APRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,5.0 out of 5 stars,Excelent article and service,Five Stars,Verified Purchase,28 people found this helpful,,83,111,2149129,Public
Nicole Pennington,/gp/profile/amzn1.account.AGWZ2GT3XUVA6KIWUGUX57GRMYZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 15, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,5.0 out of 5 stars,I LOVE THIS GAME!!!,Its so fun!,Verified Purchase,59 people found this helpful,,104,3,5603203,Public
HK,/gp/profile/amzn1.account.AFUX5FHUV7BUJCWNUTM2PH5MPJWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 29, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,5.0 out of 5 stars,It a good game,Good game,Verified Purchase,20 people found this helpful,,91,14,4715276,Public
Amazon Customer,/gp/profile/amzn1.account.AFEI3KPB7CH6GMKM56OFAPQ3JSDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 21, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,3.0 out of 5 stars,This game is just okey.first you can't make the custom character WITCH IS THE MAIN SELLING POINT OF SONIC FORCES!Also too many adds,Meh just okey,Verified Purchase,12 people found this helpful,,75,3,12511024,Public
Angelina,/gp/profile/amzn1.account.AF2HHOFVVD5UDFX6WKN4Q5VSU4UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 29, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,4.0 out of 5 stars,"I like this game so much, I chat with people on roblox, switch over to sonic, and 45 minutes later I go back to Roblox and the person I was talking to is offline. LOL!",I totally forget about who I was talking to on Roblox.,Verified Purchase,20 people found this helpful,,96,13,82844111,Public
juan olivares,/gp/profile/amzn1.account.AG5NSOW2PK4BU3QQ77QJWLWLMBMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 6, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,5.0 out of 5 stars,I like the game not that is the worse I like the events I always get some but ereytime I go to the APP in run battle is make it glitchy,I like the game but there some glitches,Verified Purchase,57 people found this helpful,,121,10,2386900,Public
Raymond,/gp/profile/amzn1.account.AHKIGWEM4PSYIN6FMNXGK7ECXHQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 10, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,5.0 out of 5 stars,I love this the so much like thank you for making it,Rating sonic forces,Verified Purchase,7 people found this helpful,,7,1,33819948,Public
Matthew,/gp/profile/amzn1.account.AHZ5OKNV2JNNMKTELNMBUYBEENSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 27, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews,5.0 out of 5 stars,"My son loves this game. I enjoy it too, but my son... he *loves* this game, lol. I find him working on a new level when I come in to wake him some mornings, and he was not a morning person before this.",My 4 year old has mastered this one,Verified Purchase,38 people found this helpful,,702,320,37579,Public
Kindle Customer,/gp/profile/amzn1.account.AEIOHDYZ4OA6M5XK6PGWKEZB6YPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 18, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,5.0 out of 5 stars,This game is super fun!,Fun!,Verified Purchase,51 people found this helpful,,51,1,31743428,Public
Amazon Customer,/gp/profile/amzn1.account.AHL3WFAELJGRLG6PVMDHHRZI4UYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,4.0 out of 5 stars,Cool game but to much updates,To much updates,Verified Purchase,3 people found this helpful,,12,2,38363341,Public
Fatima Arrayga,/gp/profile/amzn1.account.AGMOY4E2Z5R57WMNINJ2JLS5WW4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 7, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,5.0 out of 5 stars,Awesome game,Sonic,Verified Purchase,33 people found this helpful,,49,32,2272311,Public
Kindle Customer,/gp/profile/amzn1.account.AGHUJRCYNZN2WXOVJG3OSLYXIFTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 23, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,5.0 out of 5 stars,Ya I love it😍😍😍,😍😍😍,Verified Purchase,4 people found this helpful,,6,3,82967851,Public
george perez,/gp/profile/amzn1.account.AGEQ62F7PDVJH6X6EVAAZHNPE5HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 26, 2020",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,4.0 out of 5 stars,I love it! But every time I try to update this game it wouldn't let me. Can you please fix this?,Good game but the Update won't work.,Verified Purchase,9 people found this helpful,,14,31,19830762,Public
Lena Sheckartze,/gp/profile/amzn1.account.AHHALE6O4Y5FOUWVPMWGQHRJBMRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 25, 2019",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,5.0 out of 5 stars,AExasperated d,Seafarers esFswscdersddwrefrerfrreszfc,Verified Purchase,29 people found this helpful,,29,1,11976062,Public
Joseph Rodriguez,/gp/profile/amzn1.account.AEAXU3QQOGQLXPZIRTRVNXN64XWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 2, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,5.0 out of 5 stars,WE CAN SHOW THE WORLD WHAT WE CAN DO.😃👍,AWESOME!!!,Verified Purchase,63 people found this helpful,,232,9,2982430,Public
Amazon Customer,/gp/profile/amzn1.account.AHHOHTIUS6E2YXYSHTSOFB7J7JTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 31, 2018",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,4.0 out of 5 stars,It's aight,Not bad,Verified Purchase,19 people found this helpful,,22,7,36059279,Public
Stephani Swartwood,/gp/profile/amzn1.account.AHZNIQLRKJ77ZF2WOWX43IAPJJEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2021",0,,https://www.amazon.com/Sega-of-America-Sonic-Forces/product-reviews/B0778R8ZD4/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,1.0 out of 5 stars,Son reports game is not as described. He deleted it.,Confusing Game Title,Verified Purchase,One person found this helpful,,42,111,83659535,Public
