author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,helpful_votes,total_review,visibility_status,ranking
Jesse Ireland,/gp/profile/amzn1.account.AGUEJMGBTG5OJAQKXIZWZGXHDWHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,BEST game ever!!!! You can place and break blocks and fight mobs and also craft!!! Literally play this right now and give it a 5-star review.,AWESOME!!!,Verified Purchase,7 people found this helpful,,,56,3,Public,4269699
NCGraichens,/gp/profile/amzn1.account.AG2QR6GN4MS554SCNQCVRPVW4KKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Minecraft is so cool I'm even making a city and neighbourhood,Dear CJ,Verified Purchase,8 people found this helpful,,,19,8,Public,24342639
Linda Docteroff,/gp/profile/amzn1.account.AGLZDRWLJQ75FFTJETXY6N3GRJ7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 3, 2016",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,My grandson loved the game and that was important to me,Game for grandsons!,Verified Purchase,21 people found this helpful,,,27,11,Public,33527937
nharshman,/gp/profile/amzn1.account.AGRTCVSKGJ2ZOQFGMUQ26JGPKT5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 23, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Keeps my son content!,Five Stars,Verified Purchase,22 people found this helpful,,,44,30,Public,8382399
Amazon Customer,/gp/profile/amzn1.account.AGMU552CWBLYR3WBTL2UXQAYBOSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,It would be a bit better if the goats and other animals were added for every other things as tablets and phones that are not Iphones but it is very good game.,Great,Verified Purchase,7 people found this helpful,,,14,2,Public,33747253
MamaAK,/gp/profile/amzn1.account.AEAWTJOWQQ4Y4645Z63V4VB3NQPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,RechargeEstate effects try not get to work with them and they will have a bad card with no money or a company for their business so it's still possible and will probably have more,Alexa 10 out of 10,Verified Purchase,27 people found this helpful,,,39,9,Public,19463635
B. Lassie,/gp/profile/amzn1.account.AHHLEKJX6JXMHIIIKBF432XFOEPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 5, 2016",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Minecraft is the best game ever even better than survival craft the only frustrating thing is that's it 7 dollars that's not cool but after you buy it you will never get rid of it. They have updated it a lot so it is like the PC version or Exbox version there are some things on pe they don't have but I think its awesome Minecraft a perfect game,minecraft a perfect game,Verified Purchase,,,,7081,116,Public,62045
Cdparker,/gp/profile/amzn1.account.AEHPJ5JLFVOCORPEWRMKF335LZSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 7, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,My son loves playing this!,Five Stars,Verified Purchase,20 people found this helpful,,,22,27,Public,4674672
jilo77,/gp/profile/amzn1.account.AGHL4Q3XV6NQPAVX2LLODX2QDO7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 19, 2013",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This was so worth 6.99$ I LOVE IT BUY THIS GAME PLEASE YOU WILL LOVE IT LIKE ME!!!!!!!!!!!!!!!!!!!!!!!!! This kills it minecraft,LOVE THIS GAME IT IS AWESOME,Verified Purchase,39 people found this helpful,,,55,15,Public,9414724
Tracy janise hogans,/gp/profile/amzn1.account.AG3P57WOTXSQ7HE6UANZ5HO2JGTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,I used to play it on my computer at school so it was a little weird to see a store to buy clothing and  stuff but still fun to play would HIGHLY recommend! ( I'm nine now BTW ) 👍👊✌✊,It's  nice ☀,Verified Purchase,,,,32,4,Public,82834134
