author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,ranking,helpful_votes,total_review,visibility_status
Emmy,/gp/profile/amzn1.account.AEOLHTUVSGSDRJ44GRALO3VY2DAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This is the best game made,Best game ever,Verified Purchase,8 people found this helpful,,,6717605,8,1,Public
Brittany,/gp/profile/amzn1.account.AEZABKN3B2CN4BTYRH36XX26463A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"So I have had this game before but, I don't know why I deleted it it is so fun whenever I am bored I just play this totally recommend this game.",Awesome😍,Verified Purchase,9 people found this helpful,,,,68,2,Public
Morlando Ross,/gp/profile/amzn1.account.AFKJSVPB7BTIVKI2VMOEX2ZBXRBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 2, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Child's game,OK.,Verified Purchase,2 people found this helpful,,,,28,107,Public
Amazon Customer,/gp/profile/amzn1.account.AFPQQZGBLHF2UUEHNQAOVINM4PTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 31, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Love it,Love it,Verified Purchase,2 people found this helpful,,,2430862,105,95,Public
Haze,/gp/profile/amzn1.account.AHDAHMZN2P23KME5Q4BKAFYQ7KCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Baby loves Crossy Road,Toddler win,Verified Purchase,2 people found this helpful,,,4560149,3,33,Public
Theresa Daniels,/gp/profile/amzn1.account.AGDBQ5BDP52EY67TAZHHP45VGSIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Accuracy and easy,Thnkx,Verified Purchase,2 people found this helpful,,,,5,20,Public
Tonette Williams,/gp/profile/amzn1.account.AGQ6KBTVAP5EKZLDXLTMST4MTMZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,My  5yr Old Grandson Loves To Play This Game I Even Play It With Him Lol,Cute game,Verified Purchase,2 people found this helpful,,,,2,6,Public
JTKS,/gp/profile/amzn1.account.AHSIRJKIFPLXRZG5GGKAHGIQABGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2021",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Fun game for everyone to play . Easy to play.,Crossy road,Verified Purchase,6 people found this helpful,,,417408,103,160,Public
Kindle Customer,/gp/profile/amzn1.account.AEFNPDNB4L36O7LAOWOL6T2KODGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 19, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"My 7 year old really wanted to download so I agreed. She has really enjoyed this game. It is really simple, fun and well worth the download!!",Kid approved!,Verified Purchase,6 people found this helpful,,,11554753,121,19,Public
Patrick Carter,/gp/profile/amzn1.account.AG3NUIJJW6OP4HSXNSNB77WDB2PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 21, 2017",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,its ok,Three Stars,Verified Purchase,5 people found this helpful,,,4947740,16,87,Public
