author,author_profile_url,date_of_review,image_num,num_of_comments,rating,review_content,title,verified,votes_helpful
ba_doh,/gp/profile/amzn1.account.AHHCE7SDKWRKQDLFXF2YNMGODDRA,Reviewed in India on 11 November 2018,0,40,4.0 out of 5 stars,"Okay. So you have been seeing people display their Macbooks and you have always fancied owning one of those premium devices. Now, as Amazon offers this Macbook Air at a reduced price, you are getting tempted to buy this. STOP and consider what you get for the money you spend. Do not buy this if you think this adds some premiumness to your profile. It will not - because this device is next in line where support will be withdrawn by Apple. Resist temptation - because THAT is what Apple sells. The last reason to buy should be your feeling that it improves your profile. Apple users will smirk when they see you with an obsolete 'dinosaur' device as they display their latest toys.If you are a windows user - better go to some friend's Macbook and try some activities. MAC OS is great till you try to change something as puny as your mouse cursor!! You realise that you are stuck in the little cozy jail of Apple once you try anything non-standard. Try transferring data by a USB stick from your other laptop to this one .... you will need training. USB partitioning has to be only ExFAT - and evn if you do this partitioning on a MAC, chances are that Windows will not recognise the USB stick. If you are not a power user - this can be a real pain. Of course, you can pretend (like so many thousands of Apple users) that these do not matter. But hey - they do. A premium DELL or HP may be the best option for you. (Yes, I will first discourage you from buying this and then explain why I purchased this for myself)Know that you are giving up the option of buying RAM or SSD from the neighbouring shop to extend the device life. You wil depend on Apple and on Apple alone. Of course there are generic spares - but these too are more expensive than the DELL or HP spares. Once Apple pulls the plug of support, these spares may get even more expensive. In fact, hardware upgrade beyond increasing the SSD is very much a rare luxury. Thankfully, I have kept myself out of this snob-race that Apple peddles.If you are still reading - here are the good sides (why I purchased this in spite of what I wrote above)A Mac is a Mac is a Mac. So is this one. The hardware are perfectly matched and performance is always optimal. This laptop is for carrying along as a second laptop, alongside my official one, a DELL workhorse. MAcbook Air is lightweight and can run other operating systems. I use this to run Windows and Linux.The MAC OS is a very stable Operating system. Chances are that you will never face a single crash in your lifetime of using this Macbook Air. Windows is fragile (too many bugs and updates) and Linux is difficult (you need a little training). That's where the Macbook Air comes in Handy. With Parallels desktop, you can load Linux and Windows on Virtual Machines on the Mac. You can seamlessly go from one OS to another without rebooting. However, note that with 'parallels desktop' you are operating Windows and Linux from your little cell in the Apple jail. And be prepared to shell out a good amount to ""buy"" this software. It is possible to load linux differently so that it works outside the Apple shell. Quite a saving grace. Using BootCamp (through a dual bootng feature), you can take advantage of the multi-tasking power of Windows without the risk of getting blue screens or hanged functions. So overall that looks great.Now coming back to my rating... I run mostly Windows and Linux on this MAC. Happy with it because the hardware is great. I consider myself a power user - so I know that I can find alternatives for this if and when Apple pulls the plug of support (should be available for at least another year, and a certain period after that as Apple's support to ""obsolete"" devices). Hence a durability rating of 3 stars only !!That (above) is the truth laid bare. Please decide and buy at your own risk.~~ Buy this if you like the hardware (but know that DELL or HP would give a much better hardware at this price, and those will be upgradable and last much longer than this)~~ Buy this because you understand that this hardware is very stable and Mac OS can protect your windows as it works in the MAC Shell. Buy this because you can run Linux once Mac makes this obsolete.~~ Do not buy this if you feel it adds to your premium value. It will be a dinosaur soon and you will be left stranded. Think of the plight of iPhone 5, which was premium 24 months ago. People rushed and purchased their ""cheap iPhone"" around a year back. Today, they have no pride in showing off a device that is obsolete. Tomorrow, Apple will make it sluggish and they will be forced to upgrade.EDIT/ADD [02/12/2019]: If you plan to upgrade your SSD to 500GB, please look at SSD (ASIN:B07J2WBKXF) with adapter (ASIN: B07D7VM8GM). I have been able to successfully upgrade myself. Review is on the SSD page.",Read this review before you buy ... may save you a lot of trouble tomorrow,Verified Purchase,"6,048 people found this helpful"
ba_doh,/gp/profile/amzn1.account.AHHCE7SDKWRKQDLFXF2YNMGODDRA,Reviewed in India on 11 November 2018,0,40,4.0 out of 5 stars,"Okay. So you have been seeing people display their Macbooks and you have always fancied owning one of those premium devices. Now, as Amazon offers this Macbook Air at a reduced price, you are getting tempted to buy this. STOP and consider what you get for the money you spend. Do not buy this if you think this adds some premiumness to your profile. It will not - because this device is next in line where support will be withdrawn by Apple. Resist temptation - because THAT is what Apple sells. The last reason to buy should be your feeling that it improves your profile. Apple users will smirk when they see you with an obsolete 'dinosaur' device as they display their latest toys.If you are a windows user - better go to some friend's Macbook and try some activities. MAC OS is great till you try to change something as puny as your mouse cursor!! You realise that you are stuck in the little cozy jail of Apple once you try anything non-standard. Try transferring data by a USB stick from your other laptop to this one .... you will need training. USB partitioning has to be only ExFAT - and evn if you do this partitioning on a MAC, chances are that Windows will not recognise the USB stick. If you are not a power user - this can be a real pain. Of course, you can pretend (like so many thousands of Apple users) that these do not matter. But hey - they do. A premium DELL or HP may be the best option for you. (Yes, I will first discourage you from buying this and then explain why I purchased this for myself)Know that you are giving up the option of buying RAM or SSD from the neighbouring shop to extend the device life. You wil depend on Apple and on Apple alone. Of course there are generic spares - but these too are more expensive than the DELL or HP spares. Once Apple pulls the plug of support, these spares may get even more expensive. In fact, hardware upgrade beyond increasing the SSD is very much a rare luxury. Thankfully, I have kept myself out of this snob-race that Apple peddles.If you are still reading - here are the good sides (why I purchased this in spite of what I wrote above)A Mac is a Mac is a Mac. So is this one. The hardware are perfectly matched and performance is always optimal. This laptop is for carrying along as a second laptop, alongside my official one, a DELL workhorse. MAcbook Air is lightweight and can run other operating systems. I use this to run Windows and Linux.The MAC OS is a very stable Operating system. Chances are that you will never face a single crash in your lifetime of using this Macbook Air. Windows is fragile (too many bugs and updates) and Linux is difficult (you need a little training). That's where the Macbook Air comes in Handy. With Parallels desktop, you can load Linux and Windows on Virtual Machines on the Mac. You can seamlessly go from one OS to another without rebooting. However, note that with 'parallels desktop' you are operating Windows and Linux from your little cell in the Apple jail. And be prepared to shell out a good amount to ""buy"" this software. It is possible to load linux differently so that it works outside the Apple shell. Quite a saving grace. Using BootCamp (through a dual bootng feature), you can take advantage of the multi-tasking power of Windows without the risk of getting blue screens or hanged functions. So overall that looks great.Now coming back to my rating... I run mostly Windows and Linux on this MAC. Happy with it because the hardware is great. I consider myself a power user - so I know that I can find alternatives for this if and when Apple pulls the plug of support (should be available for at least another year, and a certain period after that as Apple's support to ""obsolete"" devices). Hence a durability rating of 3 stars only !!That (above) is the truth laid bare. Please decide and buy at your own risk.~~ Buy this if you like the hardware (but know that DELL or HP would give a much better hardware at this price, and those will be upgradable and last much longer than this)~~ Buy this because you understand that this hardware is very stable and Mac OS can protect your windows as it works in the MAC Shell. Buy this because you can run Linux once Mac makes this obsolete.~~ Do not buy this if you feel it adds to your premium value. It will be a dinosaur soon and you will be left stranded. Think of the plight of iPhone 5, which was premium 24 months ago. People rushed and purchased their ""cheap iPhone"" around a year back. Today, they have no pride in showing off a device that is obsolete. Tomorrow, Apple will make it sluggish and they will be forced to upgrade.EDIT/ADD [02/12/2019]: If you plan to upgrade your SSD to 500GB, please look at SSD (ASIN:B07J2WBKXF) with adapter (ASIN: B07D7VM8GM). I have been able to successfully upgrade myself. Review is on the SSD page.",Read this review before you buy ... may save you a lot of trouble tomorrow,Verified Purchase,"6,048 people found this helpful"
Vishal Surani,/gp/profile/amzn1.account.AH4UZLK6A5L6CSCVDLM5CJ2RNJAQ,Reviewed in India on 8 July 2019,0,1,1.0 out of 5 stars,Never purchase any Apple products. I bought 3 and start giving problems just after 6 months. I need to visit 4 times service station which is far 12 km. Again MacBook start acting dead after 6 more months. Mean a top priced laptop giving problems in every 6 months.I have good experiences with other brands of laptops. I hope this comment can help to save somebody’s money.,Worst product hardwares,Verified Purchase,58 people found this helpful
ganesh,/gp/profile/amzn1.account.AGHOJQ4IOQAGANGL6RYNRO7SYADA,Reviewed in India on 15 November 2018,0,0,2.0 out of 5 stars,"Bought it on 9th July, stopped working / not turning power on by 4th Nov. Adding to this disappointment is - Apple's refusal to repair it under warranty stating that there is corrosion in Logic Board. Amazon also did not help. The seller - Appario - does not like to be bothered with it. Sometimes I wonder if buying electronics online is a good idea!",Disappointment,Verified Purchase,44 people found this helpful
Airabat-India,/gp/profile/amzn1.account.AEWUQHUYUCFGCMUBAGGKWUY27TKA,Reviewed in India on 17 July 2019,0,0,1.0 out of 5 stars,"I purchased this product in February 2018 from Amazon. The power button started giving problems in end-May 2019. The computer just would not startup. I scanned the Net for such problems.  A lot of work arounds: push the Start button+ shift button etc. This worked for a few days. Then such work around too stopped working at all - the computed refused to start-up once shut down. Surprisingly, I ran the computer diagnostics on the Macbook, and the diagnostics program could not find any defect! I was surprised that even if the program could not find a defect on the computer, yet the computer once shut down would not start up.Secondly, finding a  Macbook authorised service center too is an onerous task in India. The Service center informed me that there is a problem with the mother board. And it needs to be replaced. Wow! Next time I would stick to my windows notebook, would never purchase a Macbook again!",Utterly disappointed with the product - low quality not expected of the premium product,Verified Purchase,15 people found this helpful
Abhi,/gp/profile/amzn1.account.AHL6EYCLY6Z66OZQQ2NIIW65JZ7Q,Reviewed in India on 10 August 2019,0,0,1.0 out of 5 stars,Writing the review after a two yr usage of macbook. Bought it because of very good experience with other apple product. But this was pathetic. Within a year of use the screen had vertical colorful lines. Luckily it was under warranty and got it mended.Exactly after another yr i faced the same issue and cost of repair is only 42k.Very disappointed and people shld be aware of this issue before purchasing.Would not recommend to anyone.,Bad Quality,Verified Purchase,11 people found this helpful
Prabhat Rayal,/gp/profile/amzn1.account.AGPABNKQRFNGC5FY6GCPKIF3YIMQ,Reviewed in India on 19 May 2019,0,0,5.0 out of 5 stars,"I got this for 52K during Amazon Sale. I can say that this is the best budget friendly Macbook ever.I have been a windows user for a very long time and always wanted to try a Mac because the whole world uses it. I used to be an Apple critic. But after using it for months, I can say that I am never going back to Windows again.The only thing Windows does better is gaming. Buy a Windows if you care about gaming. For everything else, Mac should be your preference. If you are looking forward to developing iOS or Mac apps, Mac is the only way.It is much more faster, responsive and sturdy than my Windows laptop. The OS never crashes and the performance is just flawless. Meanwhile my Windows laptop crashes very often ( Blue screen of death, Unwanted updates, driver incompatibility etc). I receive free OS updates every now and then and there has never been a compatibility issue.Apple - You just earned a new customer for life. Just make sure you don’t keep increasing the prices as it is the only con I can think of.TL;DR - If you want a laptop that is not going to irritate you every now and then and your budget is 50-60K. Wait for the sale and go for this Mac. But remember - This is not for gaming. For that, buy windows",The Best Budget Friendly Macbook,Verified Purchase,5 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AGKMFPWLWUULO25PTWGTTNMOY4CQ,Reviewed in India on 27 August 2020,0,0,1.0 out of 5 stars,"Stopped working after 1 year and 2 months, just died for no reason.What the hell, such horrible customer support. Straightaway charging 3.5 K for diagnosis and 43 K for motherboard replacement that too for a fault that is on their end (their hardware).Feels like the most illogical thing I have ever faced. Hugely disappointed in Apple.Product is amazing as long as you don't face such issue. however, if you try to search videos on youtube youtube, you will see tens of thousands of views on videos related sudden death of Macbook air, which proves that this is a very common problem and seems like Apple customer support has only one  solution for all their hardware problems, replace the motherboard. What the hell!!! How are we expected to trust Apple products?",Extremely poor customer support,Verified Purchase,3 people found this helpful
Nikhil Gupta,/gp/profile/amzn1.account.AGIDPYPGIS3KIM3KI3BXM5R4ZREQ,Reviewed in India on 21 October 2020,3,0,5.0 out of 5 stars,"Pros -1) Looks  Splendid and amazing.2) Genuine Apple product and so light .3) Extremely Fast , can multi task.4) Above average battery / just shut the lid and open it anytime ( it will not buffer )5) if you have an I phone  , you can connect it and life is simpler and can sync everything.6) Go for it if you want to browse , watch videos and best if you are lazy/laid back as the Mac book air opens so quick and you can continue from where you left or if you wish to search something and would like to see an answer asap rather than waiting for your windows to open and buffer etc etc and lose interest ( been there done that :) )Cons1) storage is very less ( 128 gb)2) mostly for browsing and can do Usual ppt/excel office work .3) Big no for gaming and for heavy editing4) 2017 model","Genuine Apple product ,Very fast , light and totally worth it",Verified Purchase,2 people found this helpful
Abhishek Singh,/gp/profile/amzn1.account.AHFYHAJ6P7WT3CQGC7N2GHDALHLQ,Reviewed in India on 17 July 2020,0,1,1.0 out of 5 stars,Worst Laptop in the history of Mankind. Its has a scam software which makes it dead and when it reaches the recycler it becomes active after software rewriting. It is a SCAM by APPLE. Earlier cases have been reported in USA and apple have lost many cases in this regard. Overall Apple is FRAUD.,Purchased 3 laptops all DEAD after 1 Year,Verified Purchase,2 people found this helpful
