helpful_votes,page_url,total_review
368,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGFZBQAP2T4W35RD3LVZIZI2TXQ,55
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXS67HDGXXTTYOK4T2CCTZYHPDA,45
"4,881",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTQ5I6QP7GZJD7IDUMOBXRPS3MQ,"3,812"
124,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUKGMUVTKUZL4ZL76JE26ZT2WNQ,51
"1,728",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMDZD5WP2A4R7K3QWIFZQJ6HASA,"1,095"
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVG2EMXDS5WPTFZEJ6JHMKPO3MA,11
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIBXTO5LAVFH5GWNGK2KG7XFM3Q,13
78,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVUSXDQS2GZLX6YGDWB2RRHYP3A,40
417,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA32VQ34TFNVWHEJJ3S6OYIPEWA,176
389,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIUMFXO6XINZNXOHEPFVS4RPQZA,98
355,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSMMWZYOLPIJJ7AFIHJ25MO5C3Q,92
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGS7PPRHJWIQMFZQTS7LF2SW7GUA,39
201,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEO7TZPDJLJV2AI6OUK34QOJYPEA,67
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUQ73NSPEYI34ZVN2ZNJQPNLYQA,63
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLW752FOMTD52UUUGBXFXJFZKYA,8
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYNPXNQP6SIVL4G5AXQA6XK3IZA,48
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJJ7ST4E33QVY6JA3WVVRMONN4Q,99
335,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTQKLF3S37NTRBGCZYPSKA555UA,104
204,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTTE6424FHQLSQFBJ7ZV5MC4ZEQ,103
165,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBEJ6DXXVSLCXD6NJ4XPVWRYDNA,274
116,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENEYGV72ZRMMQW4AFOU2HJ2RKOQ,164
272,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHD432PIB4IJZI2VSAR43N5BCYOQ,104
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGJNUY3EUEMWMAQTCGERIGD3RAQ,23
306,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHH4MV4DAWTEQDCEGBJR5TQWZSOA,123
158,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFG7QTLEYHFJYMMXZOKLQ7PJLDQA,63
309,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3XGUZDWLRHJXT3G35WFBX3LT3A,488
105,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3EMCH2ZEYEMWUWEIESDHSFGYJQ,47
41,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQ2BUGZXKYQGNP4H6M2EB2LNUFA,63
243,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7DCJH7OPS4XGTVYEZVKHXY6PMA,87
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQHXDPCSEG55FO2CM2JHKXLCAXQ,14
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6ITUJPCIRY7F7MDUBENPWD5C7A,33
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEQH2C6YF7KBKDCBZZ4IGOIAFLA,32
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4PBCXR4ORPIZR5DAGM6UQ2WOHQ,55
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3BCC6QKYN6QPMZXY2WPC4KTY6A,53
"1,299",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTPC7XK7ZWHRGU622TBRJVDQ5MQ,657
194,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOLY6TZICEZMYCXRPNEWEXHIKEA,37
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGZNZOBMC46WG76IZJMOVQNGGZA,15
490,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAWHRH5SMYTLVJAA4D2ALJHN5HA,579
524,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJS6MM4HBJ4ZYHVZML6KTSDB46Q,288
255,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHANMJCCEL6LRR5R5I5LDMDMVV4Q,58
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEASO7TBNNNSUMNUPQ54DEGQK3ZA,14
189,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFY6UBNDHL7PCEFFSPFEY4GWXZA,85
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2FXNTAV22D7NCVD5X2223ILV5A,55
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNDLJP3E33HNNYGERJK65C6IAXA,16
499,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEJIGNWOITSQ4DHM2EA7V5XN67A,107
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEH7YM6467TBFMEJARBJRPS4QUWQ,16
162,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBYOQWGIC7GDFWTRIB6QDFJCQHQ,145
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE56DA5YOHKMRWZ3L2DLS6HA2TOA,26
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG35NWCIBMMZHO25EOUVVZHFU2VA,50
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPJWT7QB3X5CI4JGIZMLAV7HABA,45
159,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE232YBRBUULHQ5FB2VH2Q6I4VGQ,111
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXIGE2ZDPKWXPIMGC7NJF3XAOPA,49
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDEFWCDKBKEHM6P752TJODIF72Q,26
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4MME55C2XN57W24HEG32GSI7BA,7
113,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG57ZXIB6UZDNONMUWGMZDZ5C2WQ,60
262,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBEBI5W5BGXFJCFJNZM2G22CZ2Q,129
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIZTYOIQ3WTU2OALL6VEBJH5TEA,75
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6B5XUJVJUTJOITMJAJ5CBYBVJQ,50
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWENJEGBD45KCZBLNUHTXDW3GPQ,20
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIXKDUFZY3DR3YFCICCND7A25JA,63
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG22AKGD2PCDKMIDERK4ASHMB3VA,18
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDJV34LEUNBIJ7LN34LLG5QGVIA,58
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAFPSJA2GR3OCG3FAWJRBHI7TGA,65
158,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZ4ZTQKHAW5EGLLT2L7GUPFIMAQ,98
135,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWRE4LF26BAAXTRRU2T5DEEM6BA,194
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZF3DPRT5YZRMA66T3DMGZKVOGQ,7
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFYABZL2HPWQ7RZXL5DO365KV5Q,49
204,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDAUVCNK7XM3LSIP6QUOHA7FYQA,156
92,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQEL4NJAVTKQIVNZB7JHFHW63LQ,213
107,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWRITOHTVQNOFE2ASHB5RHXWVNQ,43
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMCP3QPYCVR5AZ55CDXY6KNA7SQ,83
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSRYQFVKOO4WPZAWAOQIVUO6GZA,23
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFANO2SDPWE6JWONIWSEJDUGKKRA,78
403,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQVRVDKATGQJ2T5TVJYKZSLF4PQ,74
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKWKZRYUCCO5SX46TK7BUIRZCEA,101
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA2MBOZ544UH2GD52ZHR7RWLOBQ,24
254,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIOWXF2AQOHWK7O6PDETX47CFCQ,237
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJMNTAIYP6QKZ7OEURYLWHKGVJA,73
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMRNFEKS2QSNQYGUERVSDEVOJTQ,29
134,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNYEYHSRYYBKFKPD4IMAJIPNBMQ,71
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGK2DNY72BF3CC3R3K3XPNTWXDYQ,72
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMKGXPR7PKL72P7BTYXCBCMEM3Q,20
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPMNVFRG3C4ZSIXSEI7VYPQEKJQ,45
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF374CFET2C2U2ZNNO2UQBM4PYHQ,50
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW7S35GIGK2JMHH2UUDHWSD7SZA,40
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF27TCI6IXRRWQWTTID23YMLNKFA,70
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOY7H4WVWZWEXSHMHOR6KI7MQ7A,38
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQ45XWLLXVGAKMNJGFEHSJQXZGA,69
148,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWYMPST2CHG27RRMXQGPN2L6FRA,261
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPBNWOVXPDIB7V76JQNPPA7II5A,46
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPDNVINGYXUG4HB5OHDBKQ6XCLQ,30
721,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIA6D53HUFOI3F7HPLRZZ4OSGYA,220
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFB3QXHL66CGRJMY7KZD2V4T6I7A,20
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNHSE75XYVRTP7M62LHNLRCGCZA,25
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4OW3G22EGZ5AV234YWSOIKDY5Q,57
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBR7UWDIMNXLIYUF2MIU26FJYNQ,79
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGV2VNRXVRXGSHBO7MFYIBTIAXKA,69
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF42GFLQ74E7TNUGMHLPGUHI4ZTA,191
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQ7LSR43D3FTUKLXWQTBHE5PX2Q,42
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH25MQDYEXHFY3LP4KC4TU2PB2IQ,21
396,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJLZN6735OSAO67C4CGCYCFICAA,301
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYX4CJ6K7NGCPO2LKARV633K2IA,38
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG75XV4Z5U4HYOLWSP4YTI4WDOLQ,44
269,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVX4SULJM7YH6B6DUH2RSZF2JCA,189
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZKICX75SHU23HKRWOYDMB2Q3PA,49
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC3YMOUGI2L72T6TDWUXG3XLEVQ,16
275,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7BARFAT6D42NSKU2IVLGYPJTZA,120
