author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
LaFree,amzn1.account.AGC4K4XHCVCZ2SFTTXP5O276BJEQ,"Reviewed in the United States on January 24, 2017",1,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"This is exactly what I was looking for in a heating pad, at a reasonable price. It is a good size, it has an easy-to-use control, with 6 heat settings, and yes, it really gets hot! It is soft and flexible to use. Right now, I have an arm injury (tendonitis), and it is easy to wrap it around my arm. In fact, I just took a photo of my using it while I type this! I haven't used the moist heat capability yet, but I am glad that is an option. I also like that it has the option to turn off after two hours.  I carefully researched all the available heating pads in this approximate price range, and decided to go with this unit.  I am very happy I did!",Awesome Heating Pad at a Reasonable Price,Color: BlueVerified Purchase,53 people found this helpful,904,215.0,Public,140135.0
JN,amzn1.account.AHKPFJBLNGP76CTI6AFMX3SXMVXQ,"Reviewed in the United States on December 23, 2017",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,3.0 out of 5 stars,"The good news is that mine works, in contrast to some very critical reviews. I do have issues and probably would not have bought this one if I had known. Not a true deal killer, but the ""XL - King Size"" is a joke.It is less than 1/20th of the size of a King Size mattress, about the size of my pillow case. Like a (flat) pillow, it fits under two feet or two legs or across the small of the back. That said, the temp works. I find #2 is comfy all night long and #3 too warm all night long. The ""wet"" property is good if you go too high and sweat. And the cover is very soft one one side. Since the pad does warm up fast, it is great to put on a pillow or bed spot to heat up a spot before getting in bed or chair.The issues I have relate to the control and cord. The control buttons are too easy to touch and turn on or off features way too easily in the middle of the night. The distance between the pad and control is very short, so the control can get up into bed and/or be very difficult to reach. When the pad is under my neck, the control can be under me if I roll over the wrong way. So I will probably cut the wire and splice in an extra 3-5 feet of wire between the pad and control (safely using an electrician's splice). As others have noted, the kludge connector from the wire to pad is bulky and uncomfortable when you lie on it. The short overall cord length requires an extension cord to reach the outlet. At this price, a longer cord seems better than people using a cheap extension cord that might be under capacity of the this small pad.","It works, Pillow size, NOT King, & some Control design issues.",Color: GrayVerified Purchase,One person found this helpful,945,436.0,Public,33581.0
DBS,amzn1.account.AE4ZFTD3UTTMLD7M4SKF24B4NGUQ,"Reviewed in the United States on November 2, 2019",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"This is a great heating pad for pain relief. The heat that it puts out is more than adequate. My only complaints with this thing are these. First, I wish it had some kind of strap you could put around your chest so you could position it on your back more easily rather than laying it down and hoping you lay on it in the right spot, or tossing it over your shoulder hoping you hit where you want it. The second issue is the controller. The way it's oriented feels wrong. You expect the bottom to have more pull to it when you hold it, but it's the top that pulls. I know that probably doesn't make sense, but if you purchase this you will understand what I mean. The closest thing I can relate it to is this. Plug your cell phone into it's charging cable. Chances are the cable goes into the bottom of your phone and it feels right when you hold it while it's plugged in. Now keep it plugged in, but rotate it 180 degrees so that the cable is now at the TOP of your hand. That's what I mean. It doesn't feel right. But once you get past those two things it boils down to that this is a great heating pad. Definitely worth a shot.",Excellent heating pad,Color: GrayVerified Purchase,,432,128.0,Public,9905.0
Y. Gastelum,amzn1.account.AG734QMWDIIQOB3UWI6OGR3MKMJA,"Reviewed in the United States on April 14, 2019",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,4.0 out of 5 stars,"I read a few reviews before purchasing this.  I needed a simple electric heating pad for muscle pain.  I hurt my neck and shoulder and that muscle runs down the back and affects a big area.  This heating pad is a nice size for that injury.  I also think that while the control in clunky, it is a nice fit in your hand.  Overall, the heat temperature is good but you do need to use it on the highest temp 6 in order to get any kind of relief (at least in my opinion).  The lower temperatures are not so good.  They feel more like what a blanket does, just targeted warmth.  Last, I did get an error message when I disconnected the power cord from the heating pad and tried to reconnect without taking the cord out of the wall.  The ""F"" error showed up and I figured it is because the cord was already connected so I disconnected the power cord from the wall, reconnected the heating pad, then replugged it into the wall and the error message was gone.  This means that although it would be nicer to not have to reach behind my headboard to reconnect the power, I will have to do exactly that every time I use it because otherwise that error occurs.  Overall, good heating pad.  It does the job I needed it for.",Decent Heat,Color: BlueVerified Purchase,,108,81.0,Public,1240044.0
Amazon Customer,amzn1.account.AFJTIZ4DAR666SYXAUT3VBGWK7RA,"Reviewed in the United States on December 23, 2020",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"I have used other heating pads; I need them to keep my calves from cramping up at night while I sleep.  Other pads have an auto shut off after a few hours and I have to keep waking up to turn on the pad again and again.  It makes it difficult to sleep!  But this pad has a ""STAY-ON"" feature which keeps the pad warm throughout the night.  This allows me to get more than just a few hours of sleep at a time.  It has really improved my sleeping patterns.  Pad cools a little eventually but keeps some heat to prevent the horrible leg cramps which are so painful they make me wake up screaming in the night...Pad is also very soft and comfortable and has multiple heat choices.",STAY-ON Feature is the Best!,Color: GrayVerified Purchase,,43,51.0,Public,2799675.0
Zookeeper,amzn1.account.AFR7FKI2XP5IEGIR5MZJRDBMLO4A,"Reviewed in the United States on February 27, 2020",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,I bought this in December 2018. We use this heating pad every evening as there are a multitude of different back ailments in my family! We love it. In December 2019 we saw the dreaded “F” code on the screen. We tried some different tricks to try to fix it but nothing seemed to work. Honestly we were lost without that heating pad lol. I have another heating pad at my house but tho it looks similar it’s not even comparable to the Pure Enrichment pad. So I contacted Pure Enrichment customer service and they were delightful to work with. They immediately sent out a replacement! We are happy with the heating pad and the service. Thanks Pure Enrichment.,Great heating pad and customer service!,Color: GrayVerified Purchase,One person found this helpful,18,36.0,Public,1140480.0
XxVampiraxX,amzn1.account.AGXFE3UK4BTUW4LJ7RPE3LCKEP6Q,"Reviewed in the United States on June 21, 2020",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,Hello.I received your heating pad today and it’s perfect!I have been using the same old heating pad since the 90s. It was on its last leg and I really needed to part ways with it.I found your heating pad on Amazon and read al the reviews and decided to buy it.I suffer from back issues but also endometriosis. So it’s much needed.This heating pad is beautifully made.The fabric so soft ans cozy.The cord is nice and long and the remote that is attached is nicely lit with large numbers to see if you’re needing a little heat (1) or something stronger (6)The dial works very nicely and overall is thrilled with my purchase.I hope it lasts me as long as my other one did.Thank you so much!- pain free & toasty warm,LOVE IT!!,Color: BlueVerified Purchase,,514,228.0,Public,307411.0
Nicole Marie,amzn1.account.AEBV5GQYZ2BVKCTQD4WBGNIA4EAQ,"Reviewed in the United States on March 19, 2021",4,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,4.0 out of 5 stars,"Heat output surprisingly hot on highest setting (6). I like it usually between 4 and 5. My cat prefers it on setting 3. She actually comes over and plops down on it even if it's off, so if it's Winnie approved who Am I to say otherwise? I bought this based on a recommendation by Jaclyn hill. I thought she said it vibrated in addition to heating, but I guess I was mistaken. I like how this comes with a bag for safekeeping. Nicer than any heating pad I have bought at Walmart or rite aid! Last two I purchased at a retail store both were returned for malfunction in a matter of days. Pretty good item for the cost!! Just hide it from your pets!!",Hide from your pets!!,Color: GrayVerified Purchase,,171,45.0,Public,472743.0
Elizabeth,amzn1.account.AG2IPHAG4X2SKJ346FO5A6V3JGZA,"Reviewed in the United States on January 3, 2020",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"This heating pad is excellent!  It's large, the material is soft, the temperature gauges go from low to quite high, and adjust quickly when changed, so the temp is always perfect.  Plus the customer service is amazing.  The pads are under warranty for 5 years, and believe me they stand behind their word.  I wish every company followed their business and customer service model.  My pad malfunctioned after a year and two months, so I called the customer service number at Pure Enrichment, and spoke to Alex-what a great guy!  He couldn't have been more helpful and kind, and immediately made arrangements to have another heating pad sent out to me. Best heating pad and best customer service ever!  Thank you, I am a customer for life!!!",Best Heating Pad and Customer Service!,Color: GrayVerified Purchase,One person found this helpful,10,25.0,Public,9422109.0
Michelle,amzn1.account.AGCM2RPP7VW356SYI2YNMGFRZA6A,"Reviewed in the United States on May 2, 2018",0,,https://www.amazon.com/Pure-Enrichment-PureRelief-Heating-Turquoise/product-reviews/B01KVYTV7M/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"Edit: When I purchased this heat pad I followed the instructions to register it on their website.. More than a year after purchasing, it started flashing""F"" when I turned it on. I emailed customer service and they gave me some steps to try to reset it. That didn't work, so that very same day they sent me a brand new heat pad with express shipping. AWESOME customer service and I still LOVE this heatpad!!LOVE this heatpad! I have chronic pain and use a heatpad on a daily basis, so I've gotten rather picky about what I like. This one checks all of the boxes! It's soft and flexible, so it's always comfortable to lay on, it doesn't get bent out of shape like some of the hard plastic ones. It has a large surface that can cover my whole back at once. It has a multi temperature control, so I can set the level of heat that I want and I can choose if I want it to automatically shut off in 2 hours or I want it to stay on until I turn it off. It does not have a cover, which I prefer, it just has a soft surface area that can be spot cleaned as needed. If you wanted a cover, I imagine it would be easy enough to find one or make one yourself. All in all, this is the best heatpad I've owned and I've definitely gone through my fair share!","All in all, this is the best heatpad I've owned! Also, EXCELLENT customer service!!",Color: GrayVerified Purchase,One person found this helpful,323,46.0,Public,370436.0
