author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Whitney Heeres,/gp/profile/amzn1.account.AFWDYYBTRL6L6RWNUZSX64AQ2WCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2017",3,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,5.0 out of 5 stars,My all time favorite hat! Buy it!,Best hat ever!,Color: MauveVerified Purchase,694 people found this helpful,1205,188,168094,Public
SamanthaKienlen,/gp/profile/amzn1.account.AHLYXUSUG5YWI2J444V2UZMPEGXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 18, 2016",1,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,1.0 out of 5 stars,"This beanie was not a real CC beanie. The green one i received is authentic, however the black one came with a piece of leather I could rip off.. And is not the same quality of the other real CC beanies.",Not real.,Color: BlackVerified Purchase,493 people found this helpful,493,1,10243,Public
Ion Mura,/gp/profile/amzn1.account.AFOXRNPENVKZTXSCLSUUA5TOFXRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 14, 2017",2,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,1.0 out of 5 stars,"Bought it back in January and didn't wear it till august. Then I took it for the first time and it broke apart. Contacted customer service, tehy said there is no warranty on it. May be I am unlucky with this product but for me it turned into wasted money, would not buy it again.I was surprised how many people have the same issue. Just check the 1 star reviews with pictures and you will see this is common, Hope I'de read them before buying it.",Broke apart on first use - many people reporting the same issue - check one star reviews with pictures,Color: GrayVerified Purchase,85 people found this helpful,211,228,168094,Public
SweetAndSalty,/gp/profile/amzn1.account.AGDPBHMQZSV5ABHU5ENOKNOSKZTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 17, 2017",2,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,5.0 out of 5 stars,"Super cute and well made! I purchased mine from seller Pick&Pack and I received the CC exclusives name brand hat. It's not a knock off! I'm very happy with the color, it matches my green eyes nicely! I live in Massachusetts and this keeps my head nice and warm. I can even throw my waist length hair into a bun and put this on over the bun and it looks decent. I mostly wear it with my hair down though, it looks best that way. It doesn't give me hat hair either!",Very cute slouchy hat!,Color: TealVerified Purchase,107 people found this helpful,7039,1444,12887080,Public
Erin,/gp/profile/amzn1.account.AFMLLEGJO7BNN575LQA5VRIC6YAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 23, 2016",2,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,1.0 out of 5 stars,"A little loose, but that let it slouch nicely, so I didn't mind. I've had this hat for a while, but haven't had an opportunity to wear it until recently. It's been great for about two weeks, but I went to put it on today and the top unstitched itself and is now just a gaping hole. Very disappointed, as it was a good hat until it just fell apart.","but that let it slouch nicely, so I didn't mind",Color: BurgundyVerified Purchase,163 people found this helpful,167,4,162821,Public
W. Thein,/gp/profile/amzn1.account.AHIPZFQUKE2OBEKXISFZQJIRWO2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 26, 2017",1,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,5.0 out of 5 stars,"This hat fit perfectly with just the right amount of slouch, and it is the PERFECT pink color. I have a big 'ol noggin', and finding a hat that actually has some slouch and doesn't pop right off my head can be something of a challenge. This one is in the Goldilocks range (see photo). The hat is toasty warm but didn't get sweaty outside in a Montana winter. It doesn't have a liner, so if you are facing very cold and windy conditions you may want to wear one with the hat to keep the wind out. Like all knitted hats, it will let some air through. The pattern of the stitching is very nice and it held up nicely to machine washing and drying without shrinkage, runs, frays, or fade. I may get another color next year.","""She Was Warned. She was Given an Explanation. Nevertheless, She PERSISTED!""",Color: Hot PinkVerified Purchase,53 people found this helpful,1179,183,932,Public
Kareem Abdullah,/gp/profile/amzn1.account.AEXNB2IBRK5HNOJRBUOVAM73227A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2014",1,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,5.0 out of 5 stars,If fits amazing and it keeps my head warm!!! Everyone should go out and get this hat!! I love it and the ladies love me in it. Lol,great fit!!,Color: BeigeVerified Purchase,649 people found this helpful,671,33,9454908,Public
Kindle Customer,/gp/profile/amzn1.account.AFADEJIH5AGLD2LJ5EDYBLI6ZXFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2015",1,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,5.0 out of 5 stars,Good fit. Seems to be made well with quality material. Color was as expected,Will be buying more!,Color: CamelVerified Purchase,201 people found this helpful,525,110,25378,Public
Bea,/gp/profile/amzn1.account.AEEF4JENZJEWYZ5U77DJTW53TNSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 11, 2016",2,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,1.0 out of 5 stars,"I loved loved loved this beanie.. Up until it completely unraveled. I have only worn the thing maybe 4 times since I bought it in Feb. I originally got it for a Photoshoot but loved it so much I deleted to incorporate it into my wardrobe. I took it with me to Italy this past week and as soon as I put it on, the top busted open!! It's now just a useless sleeve...",Unraveled after 1.5 months,Color: BurgundyVerified Purchase,40 people found this helpful,1237,56,302422,Public
Jackie,/gp/profile/amzn1.account.AFDUHEYPDLY2POR4CLTAXMS3272A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 8, 2014",1,,https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD&pageNumber=0,5.0 out of 5 stars,Fits perfectly and it is very warm.,Love it,Color: TaupeVerified Purchase,228 people found this helpful,241,9,114587,Public
