author,ids,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,
phillygrl,amzn1.account.AGTOQEOYH4KU2UE6MFKMEBHNFX4Q/,"Reviewed in the United States on September 21, 2016",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I've been using this garden sprayer now for about 5 months and It has always worked perfectly.  This sprayer is so easy to use.  The way it works is you fill the sprayer with your choice chemical, pump the handle until the air pressure builds (you will feel the resistance in the handle when the pressure is built) point the nozzle and spray.  So easy!  The container is a good thick quality, wand is 12"" and the hose is 28"" which makes maneuverability nice and easy.  This sprayer has a convenient funnel top which helps prevent liquid from running down the sides when you are filling it.I use this with insecticidal soap on my houseplants and on my garden plants.  The spray is nice and even and it has a nice wide spray width.  The nozzle is adjustable and the wand is easy to reach into bushes or up into small trees.  This sprayer mists everything leaving a nice coat on the leaves without dumping out too much product.  This is nice because my liquid lasts longer.  I have never had any issues with this sprayer and would recommend this.  If this review is helpful to you in any way, please let me know by clicking on helpful.  Thank you so much!!  :)",Works Great Everytime!!!,Size: 1 PackVerified Purchase,"1,468 people found this helpful",
Alice Wakefield,amzn1.account.AHEGKAJTTUVI6ZQDES743VTYJ7PQ/,"Reviewed in the United States on May 18, 2017",2,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I bought the Chapin four years ago and it's still working, with occasional tip cleaning using vinegar or CLR.  It's never quite as ""misty"" as I'd like, but it's adequate for spraying weeds, and for the price I can't complain. The wand and tips are usually the weak points in these home sprayers, so  I looked into buying new ones but it was more than the complete tank.It probably doesn't help that I leave chemicals in it for extended periods. I once left liquid in it so long that I forgot whether it was weed killer or insecticide, so disposed of it by spraying an area that needed both.  I then decided to get another dedicated sprayer and label them.  This seemed easier than cleaning them out after every use because that's just not gonna happen, to be honest.The lock and release action of the pump mechanism for carrying is smoother and easier than with others I've tried, and given the abuse it takes it's a great deal.The Smith was twice as much, and the wand is a bit longer.  It feels more robust and sprays mistier, but that could change.  The twist and lock action isn't as smooth as the Chapin, but other than that they're pretty similar.","Four years later, still working",Size: 1 PackVerified Purchase,580 people found this helpful,
Jason,amzn1.account.AF45HQR22RVTQ6B7WZIMBJFKUJ3A/,"Reviewed in the United States on July 23, 2017",1,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"The locking mechanism on stem of handle consists of a tiny plastic tab. If you don't tighten this mechanism up enough, air will escape and it won't do the job. If you tighten it up too much, the tiny plastic tab will break... rendering this product useless. The latter happened to me. Received this product a week ago, and it's worthless after only 2 uses. Don't even know if it's worth the effort to try to return this product since I already tossed the packaging in the garbage.",rendering this product useless. The latter happened to me,Size: 1 PackVerified Purchase,201 people found this helpful,
Ringading,amzn1.account.AHJ7DXFRHHX7RHGUY7PX2RLVF7JQ/,"Reviewed in the United States on April 21, 2016",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is an extremely well made garden sprayer, easy to use, maintains good pressure, clear volume markings.It takes about 3 pressurizations to empty the sprayer. I have to give kudos to Chapin. Not only is this a great sprayer, but when I called them to make sure the extendable wand I wanted to add was compatible, the person who answered knew immediately what I was doing, and was also aware that the nozzle that came with this sprayer would NOT fit the wand and sent me one that would fit at no charge which arrived before the sprayer and wand did! Now this is just a small plastic part, but essential for operation. I am very impressed with this company's foresight and service and will look at other Chapin products in the future.Now I'd like to also rave about the wand purchased through Amazon, Chapin #6-7770 32-Inch Extendable Wand with Viton. The extendable part is brass and is slightly bent at the tip. The bend is important because just by turning your hand slightly while spraying, you can get the underside of the leaves. It fits the hose that comes with the sprayer. When it is fully extended, I can get the top branches of a pear tree that is roughly 15 feet high.","Great product has 12 inch wand, 28 inch hose, and compatible with the Chapin 32 inch extendable wand.",Size: 1 PackVerified Purchase,303 people found this helpful,
Carol M. Couture,amzn1.account.AGEUZJU6FDEFDFSR6YQUVU33O3NA/,"Reviewed in the United States on June 4, 2017",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I am returning this sprayer, as it just won't work.  I have been an avid gardener for over 40 years and know how to use this product, but It won't work.  You pump it and pump it till you feel the resistance, but then when you go to spray  it, hardly anything comes out.  I brought it to 2 garden centers and they couldn't get it to work either.","I am returning this sprayer, as it just won't ...",Size: 1 PackVerified Purchase,107 people found this helpful,
Rebekahra,amzn1.account.AFYCFNM5Z22OKKAFOS2ZR74EDJSQ/,"Reviewed in the United States on July 29, 2017",4,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This sprayer is amazing! I bought it to spray my yellow spots in my lawn with LawnStar. I used the Home Depot HDX brand last year and it got clogged every 5 minutes. It was very frustrating. This sprayer didn't get clogged once and I was able to spray my lawn much faster!,Amazing!,Size: 1 PackVerified Purchase,75 people found this helpful,
Homer,amzn1.account.AFMFXUSFUH47TLVHNUMJG5WRQRBA/,"Reviewed in the United States on June 5, 2019",1,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,I filled this with an oxyclean solution so that I could spray down my roof deck. The sprayer was slightly pressurized and as I was carrying it up to the deck the seam at the bottom sprung a leak and flooded inside the house. I am not happy with this product.,Seam burst,Size: 1 PackVerified Purchase,41 people found this helpful,
Bill G.,amzn1.account.AHISRDRH5B5H5SMFHHDDBRDYGNZA/,"Reviewed in the United States on May 4, 2016",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"This review is for sprayer compression bottle listed her under name ""Chapin 20000 1-Gallon Poly Lawn and Garden Sprayer"".It works, I was able to spray all my weeds with success. Long handle very useful and allows you to direct spray where it is intended.So why is the four star and not five? The reason is simple, quality of the product and plastic used is very poor. Bottle quality is OK, it has to be or it will not hold pressure, but the actual sprayer is very flimsy and will not last. To be honest, this product never lasted me more than one year. I get it every spring and no matter what company or how much I pay for it lasts the same. It is true you can replace broken/clogged parts, but it will cost you about the same as replace the whole thing, so why bother...","good product, but life expectancy about one year...",Size: 1 PackVerified Purchase,188 people found this helpful,
CK,amzn1.account.AHKNVAQXY55DGL52OLSGAYT23CYA/,"Reviewed in the United States on July 29, 2020",1,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"**UPDATE** After contacting Chapin, they offered a replacement. I appreciated that offer. The replacement arrived and it was only the pump handle assembly. The old assembly is embedded / broken off in the old tank and not easy to remove. I ended up drilling into the old assembly and tried to extract it that way. I broke drill bits but that's my own fault. By the time I got the old broke assembly out, I had unfortunately drilled into the tank body a tiny bit. This is because there is nothing of substance in the center of the assembly and you must drill near where it meets the tank threading. This caused my unit to leak slightly when pressurized; it still works but it also sprays solution mist on my hand and arm instead of the intended target.Original review:I used this sprayer 3-4 times a week for 2 months. I enjoyed the form factor, the handle, and the wand with adjustable sprayer tip. This sprayer would have come highly recommended by me except for one fatal design flaw.Everything hinges on the pump handle. When it's full, there is very little stability in holding this device by the intended handle.To tighten the lid you must turn the pump handle. It catches the lid assembly by two small blocks. Those blocks are horribly undersized and should have been re-enforced. If you tighten the lid adequately tight to form a seal and try to loosen it, it could break on you. They broke on me with relatively little force. When these tiny pieces break, it renders the entire unit landfill trash. In an emergency, i had to use a funnel to supply some product to the cylinder since the pumping and spraying mechanism still technically work - however it would be too cumbersome to do this daily.",Worked nicely for 2 months,Size: 1 PackVerified Purchase,7 people found this helpful,
Robert T. Wolfington,amzn1.account.AHSX23V66PRJLAR3T55JC553XZOA/,"Reviewed in the United States on December 4, 2018",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"If I could, I would give this sprayer a big zero star, I bought this item to use for weed spraying, I thought it would be great after reading so many positive reviews, I couldn't have been more wrong. There were two major issues with this thing, the first of which in my opinion makes it worthy of a recall. After using the sprayer as directed, it looked like it was completely out of spray and air in the container but when I opened it up to refill it, it vented directly into my face, wetting my eyes with weed killer, going into my mouth and onto my face. This sprayer shouldn't even be capable of doing something like that, there should be some sort of safety measure on it to prevent that from ever happening. The other problem is that while walking around the yard holding the handle while I was spraying, it kept coming unlatched and causing the handle to come loose. None of this was from my improper use, it was due to a defective and poor design. It is a horrible item, it shouldn't even be being sold, I do not reccomend it.  ~Robert's Wife~",Product not wort ZERO stars!!,Size: 1 PackVerified Purchase,11 people found this helpful,
