author,ids,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,
Hulk Smash,amzn1.account.AHYZMKPCW4HUBP7TZOUUAVYMMR5Q/,"Reviewed in the United States on February 10, 2018",4,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"Received the weeder from Amazon and couldn't wait to use it. The wife and I tested it on a weed in our lawn at dusk just to see if it worked. It not only pulled out the weed but also the sinister, soulless root! It ejected the lifeless carcass just like the video and even made the trademark cocking sound like a 12 gauge ""shicack!"".We were so pumped we told all our friends and neighbors to gather round a weed at sunset in our street side planting strip to witness the genius of mankind in all its weed destroying glory. Aim, stab, lever ""shicack!"". The crowd went wild, women screamed, children jumped for joy and grown men were moved to tears. After speaking a curse on all weeds left in the planting strip we placed the weeder over our mantle vowing to raze all weeds at the crack of dawn.Sunrise...The Mrs. and I dawned our gardening gear, sprayed some SPF 50 on exposed areas and grabbed the weeder. With a stoic nod and an affirming grunt the Mrs. began unleashing the dogs of garden war on the planting strip for 60 minutes. If you weren't a thriving clump of El Toro Zoysia you were ripped from your unholy seat and violently deposited into the Green Recycle Bin like a dead Christmas tree in July.Then it happened. While ripping out a clump of sleeping grass that can only be described as barbed wire with leaves, a snapping noise came from the ejection slide and the handle went soft. The jaws went limp as the weeder gasped its last breath. The sleeping grass, half ripped out of the ground sat there with a sinister smile.As we made our way back to the house friends, neighbors and loved ones lined the driveway to pay their respects to the excalibur of weeding tools. After a short eulogy, the weeder was placed back on the mantle a shadow of its former self.Fiskars Deluxe Stand-up Weeder (4-claw)You came.You conquered.You died.You'll never be forgotten.Godspeed to Valhalla where you battle weeds everyday along side your weeder brothers and sisters!",It will break.... Your heart. : (,Style: WeederVerified Purchase,"2,852 people found this helpful",
Ricky Mattos,amzn1.account.AFIYDQTMMA6UX7LRLB65FSXDUYRQ/,"Reviewed in the United States on May 26, 2017",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"WOW!! Ok everyone having issues with this product, here's the thing:I had an issue in the past also, and I guess part of it was my fault. You have to remember, that you are jamming these claws into the earth, which if it's not moist or wet enough, is going to push back on the claws and eventually either bend or break them. My advice would be, to either WAIT for it to rain, or wet your yard REALLY REALLY GOOD, then go out there and weed. When there's water on the ground from the day before, the claw will go into the earth like butter. THEN, it's a pleasure to weed out the yard and look at it! Also, I had tried this other tool in the past on my backyard where the earth is more packed in, and that's where I had an issue. Hence why I'm saying what I'm saying. Just some friendly advice.",Friendly Advice: Wait for the rain!,Style: WeederVerified Purchase,"1,128 people found this helpful",
D. D. Levinger,amzn1.account.AHODPKF6S5AJS7WK7SFDRXMKP2EQ/,"Reviewed in the United States on August 7, 2014",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"An excellent product, it comes with a fatal flaw. The metal claws are controlled by a plastic molded part that breaks easily.I sent mine back, but I miss it badly. If they replaced that part with a durable metal part, I'd buy another in a heartbeat.",Waiting for Fiskars to Fix the FATAL FLAW,Style: WeederVerified Purchase,623 people found this helpful,
MR G,amzn1.account.AGIKTC7KQ3FBPE2MRMNS2ABAMWXA/,"Reviewed in the United States on April 14, 2015",1,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"It was great - I loved it!  for 30 minutes.In those 30 minutes I filled a wheelbarrow with recalcitrant weeds.  And then it snapped.The plastic at the bottom, where it sheaths over the metal, cracked.  I wish it were sturdier, but I'm shipping the broken parts back to amazon.",Loved it! until it snapped after 30 minutes.,Style: WeederVerified Purchase,795 people found this helpful,
HikinMarty,amzn1.account.AENKN5OIN4PD77F5VUY67EZCA7WA/,"Reviewed in the United States on June 26, 2015",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"When I bought this 13 days ago, it was not discontinued by the manufacture.  I used it on some medium-large weeds, *gently* (I didn't pursue on the bigger weeds if the weed didn't want to come up), and it broke within 20 minutes (plastic close to the base of the jaws broke clean off), rendering it entirely useless.  I do not recommend this product .... sad, because the jaws are spaced for larger plants, but the materials (plastic) are not suitable. This has made me hesitant to buy any Fiskars product that is based on plastic.  Also, the tines bent within 10 minutes of use, before the base broke off.  I returned the item and Amazon refunded me the price quickly.I since then purchased the following 2 tools which I really liked and are saving us quite a bit of effort:- Yard Butler RKT-1000 Rocket Weeder Steel Weed Remover  (all steel, completely sturdy, our first choice for the larger weeds)- Grampa's Weeder by Oswego Enterprises (slightly smaller jaws than Yard Butler which means it can get smaller plants that Yard butler can not; has wood handle so maybe not quite as sturdy as yard Butler, but no problems so far, however, only used it on the smaller weeds that Yard Butler  could not get).  no eject button, but that's not a big deal as most weeds fall out, and some get stuck which require manual intervention anyway.I will be reviewing these other 2 products on their respective pages as well.I live in the rural Southwest, where tumbleweeds and all sort of weeds prevail.","Big jaws, lousy materials",Style: WeederVerified Purchase,374 people found this helpful,
J-Monroig,amzn1.account.AHCPVW5OR235VF4UWJUKVGYSVOEA/,"Reviewed in the United States on March 9, 2017",1,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"I will not give it a one star becuase the product works but the poor quality of the materials, as other customers already realized, its poor.  If it work for 30 minutes in the two times I used it, it was to long. The design, patent, and time/effort saving tool is excellent but the materials needs to be stronger for it to be a great product.  I was disappointed but I hope Fiskars takes the time to read this reviews and make adjustments to avoid it's customers to say that this is a waste of money do to the poor quality of the materials. Even though it works, you may not be happy for to long... i will breaks.  My biggest regret is the amount of money paid for this item.",It work until it broke the 2nd time used 😏,Style: WeederVerified Purchase,176 people found this helpful,
Carolyn P,amzn1.account.AE5H65NE6MBXYQXWXCJMIEY3T66Q/,"Reviewed in the United States on September 5, 2015",1,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This thing is stinking incredible. It should come standard when you get a house. My yard was full of weeds from the last owner, and I filled two buckets full of weeds with this thing in 20 minutes. See photo attached, I had some serious weeds and it got them all in one go, even enormous ones. Best part? To release the weed from the tool is like cocking a shotgun, so you even get to pretend you're hunting zombies while de-weeding your yard.",I am now God of Weeds,Style: WeederVerified Purchase,451 people found this helpful,
Nathan Kostos,amzn1.account.AFGN4EKYE4GD3URFYENR6XHILQWA/,"Reviewed in the United States on August 19, 2016",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Seemed like a great idea at first.  Ordered it and was in the back yard working on weeds within minutes.  Live in southern Texas and the soil has a high clay content.  Pulled a couple of weeds, then heard a ""crack"".  The plastic (yes plastic) sleeve that you push to discard the weed cracked.  Tried it a few more times and it broke totally and fell apart.  Read other reviews and some stated you should wait until after a rain to use it.  Sent it back to Amazon, got a replacement of the exact same item thinking that it may have been user error.  Second one came, waited 2 weeks for a nice rain that lasted a few days.  Went out to the yard to CAREFULLY try again and guess what.  Cracked in the exact same place.  Not even going to bother with returning - lesson learned.  If you have very sandy soil, probably would work ok.  But if you have compacted soil forget about it.  If they would have used a metal sleeve rather than flimsy plastic it probably would work better.  Like Fiskar products overall but this one is a looser.  Save your money.",It's gonna break on you,Style: WeederVerified Purchase,110 people found this helpful,
Emmanuel,amzn1.account.AEJFWNMT5WCA5WVQC7HC2YYOLPWQ/,"Reviewed in the United States on April 20, 2019",2,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Take heed to these 1star reviews. DO NOT BUY THIS WEEDER IT WILL BREAK. I like many others can say this product is not durable.  I myself bought 2 of these.  Got the first one went straight to pulling weeds, big ones small ones whatever I tried it pulled up no problem. Then I hear a crack and well that was that. I have some nice size weeds and I really loved this thing, it was life changing on the ease of use and effective grip it had on weeds. So I buy another one, this time I'll make sure to not beto excited to rid my yard of every weed so fast. So I went way easier on it, at least 5x easier than the first one bc I'm thinking I need this thing for many years so I'll pull eveything with care annnndddd BOOM within 5-10min it snaps. So I say again DO NOT BUY THIS WEEDER IT WILL BREAK",DO NOT BUY THIS WEEDER IT WILL BREAK,Style: WeederVerified Purchase,34 people found this helpful,
Markelle,amzn1.account.AEUQR7236PJT2D5SVWBJS5RELYBA/,"Reviewed in the United States on February 2, 2018",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Your browser does not support HTML5 video.           Worth. Every. Penny. This thing is amazing!! When I told my husband I ordered a $35 weed puller he thought I was crazy. Well, this thing arrived and he agrees, it is worth it's weight in gold! It makes pulling weeds so easy, fast and effortless, my 5 and 7 year old boys are fighting over who can use it next! I wish I had found this gadget years ago! No more bending over, dirty hands or sore back!",Worth every penny!!,Style: WeederVerified Purchase,48 people found this helpful,
