author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Wing,/gp/profile/amzn1.account.AFTMHSRH35PMMINTVYON62LZTJYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 30, 2017",0,0,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I love this drill. It has saved me so much time on my home improvement projects (which basically means putting furniture together and drilling holes in the walls to mount things). The battery is great and honestly, I can't say how long it lasts because it has never run out while I've been using it. Granted, I only use it for about an hour at most and then I stick the battery back on the charger, but it seems to hold a charge very well too since there have been times when I haven't charged it for about a month, put the battery in the drill, and it still worked as if the battery was full.The drill bits that come with it are standard sizes although I wish the sockets came in more sizes. They are too small for most things I want to use them for. Other than that, this drill is perfect.",Great battery powered drill that holds charge well,Style: 20V Drill/Driver KitVerified Purchase,26 people found this helpful,51,39,78756499,Public
Bowen Zhao,/gp/profile/amzn1.account.AHCUN5OV6OJSKL37CDAPU4ADH3MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 1, 2019",1,1,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Poor quality drill and drill head.The drill cannot hold the drill head straight.Whenever I drill a hole with it, the hole will turn out wider than the drill head because the head is not straight and when it rotates, it will open a wider hole that the diameter of the head.The head is of poor quality, too. As shown in the picture, the drill gets rusty after only a couple months.",Can't hold the drill head straight. Drill head gets rusty.,Style: 20V Drill/Driver KitVerified Purchase,18 people found this helpful,42,5,4364004,Public
anushree,/gp/profile/amzn1.account.AFJRU7Z2UNQ4IQQRBZNO6RBQX64Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 25, 2020",2,1,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,2.0 out of 5 stars,"I purchased this item on Nov, 2018 and have never used it outside my apartment. My issue here is with the quality and durability of drill bits provided as accessories with the item of purchase. As mentioned in product details, I have used it on wood and metal surface drilling. The 3/16 inch drill bit broke off while drilling a wood surface. The tip of 5/16 inch drill bit broke off while drilling a metal surface. Additionally, I drilled on a ceramic surface and that's when the 5/32 inch drill bit broke off. I do understand that ceramic surface wasn't present in product details, but considered it would since the drill works with metals. These incidents didn't happen during first use, but took place within 6-8 months after my purchase as I did use them for multiple jobs at home. Also, the drilling wasn't on bare surface, as I did make a dent with nail before pointing each drill on surface. To ensure this still wasn't because of my naive drilling skills, I purchased a second drill bit set from DeWalt a little less than year ago and used it for the same incomplete tasks at home. However, I don't see a repeat of broken drill bit incidents here. Hence, my review comes at roundabout 1.5 years post my purchase. It's fair to expect that the drill bits coming as accessories with this item should have run longer. On checking the Black & Decker 2-year limited warranty for this item, it appears that accessories aren't part of that limited warranty. As a result, it wasn't a wrong decision purchasing a separate drill bit set. However, an option should be made available to either include accessories (like drill bit) in the limited warranty or not providing them with the item at first place. In that way, customers can purchase this item for a price minus that of accessories and use drill bits of their choice that run longer. But the question about quality of the drill bits offered as accessories on this item still continues to be open for me. As proof, I have provided pictures of the affected drill bits with this review.",Drill bit accessories ruined within first year of purchase,Style: 20V Drill/Driver KitVerified Purchase,10 people found this helpful,10,1,62593673,Public
ssegal,/gp/profile/amzn1.account.AEGMIT642TEAW7VX2VHVSVHPLH5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 18, 2020",0,0,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"My Black&Decker 20V Drill caught on fire after 6 days of use. I used it for less than 30 min a day for the first five days, and after charging the battery overnight, I tried to use the drill and it did not work (just beeped). After about 4 seconds, significant amounts of smoke started pouring out of the motor, melting the plastic. Please be careful with this. Please be careful if you purchase this product, it may catch on fire.",SAFETY: This is likely a knock-off - mine caught on fire after six days.,Style: 20V Drill/Driver KitVerified Purchase,12 people found this helpful,16,13,5133655,Public
Lauren Pratt,/gp/profile/amzn1.account.AG7YWQQ56R6QBKYOOB2GOJJCIJDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2019",0,0,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"I charged the battery and used the drill for one small project shortly after I bought this drill. I didn't have much planned for it, I just took advantage of a good sale price to have a drill on hand for future use. Flash forward 7 months to the next project and the battery is completely dead and will not take a charge. The sale price wasn't worth the 10 minutes I got out of this. I'm looking for the manufacturer/warranty paperwork to see what I need to do to get this resolved.",Single-use battery,Style: 20V Drill/Driver KitVerified Purchase,15 people found this helpful,24,19,2966184,Public
Yellie,/gp/profile/amzn1.account.AGWJMHBYJJ5YUZFCGQYTVUD2T4IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2020",3,1,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,I can’t attached the attachments to drill anything something is missing and I have furniture on the way that I have to put together myself I order the drill to get the job done!!! This is ridiculous!!,Everyone needs one but I’m missing some thing,Style: 20V Drill/Driver KitVerified Purchase,10 people found this helpful,33,74,368563,Public
S. L. S,/gp/profile/amzn1.account.AE424KAX7UQTDD747KZMSQXJRO6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 28, 2018",0,0,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"This drill (B&D LD120VA) is perfect for light jobs but nothing heavy duty. This drill only has one speed, so if you are doing anything that needs some power, you'll need to upgrade. (it won't drill or screw into anything with resistance)This drill is incredibly light weight and the price is right considering it comes with battery, charger and some basic accessories. (Great for someone who doesn't have a lot of strength)UPDATE: Now that I have had this a week and the Black & Decker BDCDD220C 20V MAX Lithium 2-Speed Drill/Driver - I am returning both! Do not waste your money on either one of these drills.If you are somehow forced into buying a B&D Drill, buy the 20V MAX 2 speed - but know that it is for simple house jobs only. Because the chuck will not hold a drill bit/driver if there is any resistance and it does not have a break stop (if you let go of the trigger, it will continue to spin) which can be dangerous.",Only has power for SUPER light duty jobs only.,Style: 20V Drill/Driver KitVerified Purchase,25 people found this helpful,88,34,902165,Public
Fruit Batwoman,/gp/profile/amzn1.account.AFQKXSY22EFZUV2LZNSHTCGAQO7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 23, 2019",0,1,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,2.0 out of 5 stars,"I bought this as my first power drill. I had in mind to hang my new 49” TV and assemble a bookcase I bought from Amazon. I saw a review on here that told people not to listen to the reviews of amateurs, but since this drill seems to be marketed to amateurs, I think our opinions do count. I wasn’t expecting to drill holes in my sidewalk or build a house with this sucker—I just wanted a basic handyman’s drill.Full disclosure: I did not charge the drill before first use, so I may not have had full power when attempting to hang my TV. That said, the drill seemed to have trouble driving the included bit into the wall and the wooden stud behind it. Then in reverse, the drill did not seem to have enough torque, even on the maximum setting, to pull the bit out of the wall. The bit kept coming out of the chuck. So my television remains un-hung.The next task I put this drill to (after a full charge) was to screw together the panels of a new bookcase. Keep in mind that the holes were already partially pre-drilled by the bookcase manufacturer, so it should’ve been a piece of cake. Well, it wasn’t terribly difficult to drive the screws in, but the bit kept coming away from the screws, which caused a few little marks on my new bookcase. By the time the screws were installed properly, many of the heads were partially stripped, and what’s worse, there were little metal shavings deposited on the bookcase. I’ve used other people’s power drills before and never encountered this issue. As I was assembling the bookcase next to one of my cats’ dishes, I had to toss the food and wash the bowl out just in case some metal shavings had fallen in—better safe than sorry.I honestly can’t recommend this as either a basic drill or as an electric screwdriver. I’m returning this and will be saving my money up for a Milwaukee or even Ryobi at the hardware store.",Inadequate Even as a Basic Tool,Style: 20V Drill/Driver KitVerified Purchase,7 people found this helpful,213,56,252377,Public
Sierra Elise,/gp/profile/amzn1.account.AHEPSUTVYH4JWCYPJNRQYNWPCDDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 7, 2017",0,0,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"I was very surprised when this drill arrived. Though it is a 20V Drill, it is about half the size of any other drill I have ever owned - some that are even less powerful than this one claimed to be. I will be honest, I was rather skeptical of how well it would work just by its size. I guess size isn't everything though. After using it a few times, I started to get a feel for it and I was willing to use it for more heavy duty projects. I have found that this small drill, which is an amazing size to keep in a compact carrying case, is very powerful, while also remaining pretty quiet. The chuck works very smoothly as well, no issues holding the bits, breaking, sticking, or falling out. The size and weight make it VERY easy to use and that is something I am thankful for. In the past, I have stayed away from my husband's tools because of the size and power, but this is a drill for everyone. I am not 100% on giving this drill 5/5 just yet, but after a few more major home improvement projects I will let you know, our next one will be putting it through the ultimate test.","Lightweight, compact, quiet, small but powerful!",Style: 20V Drill/Driver KitVerified Purchase,26 people found this helpful,3442,326,2624,Public
Jeremiah,/gp/profile/amzn1.account.AHUKGUILJQTPZUOOVUCGHBIKSXVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 24, 2019",0,0,https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I can't say enough complimentary things about this drill!  I purchased it when I began a long-term home renovation project two years ago and have used it extensively since then.  To date, it has been used to install numerous fixtures (lights, fans, etc.), drill and assemble custom built shelves, fasten over 2,000 square feet of drywall, fasten cement board for tile floors and backer board for custom showers, and many other tasks.A few specific notes:1.  The battery life is great; however, you may notice a bit of a battery drain when performing heavy duty tasks like driving self-tapping screws into backer board (which is extremely dense, so the drill has to work very hard to complete this task).  Even when performing this task, I did not find myself running out of battery power in the middle of tasks.  I typically charge the battery every few days, but I found myself needing to charge the battery on a nightly or semi-nightly basis (which is still not bad at all) when taxing the drill heavily.  I have never needed to purchase a second battery because one charge easily lasts through a full day of consistent use.2.  This drill measures up very well against other cordless drills of the same class.  When people have helped me to hang drywall and backer board, their drills have not been able to accomplish the tasks as easily as this one.  I have handed my drill to other people on numerous occasions so that they could drive screws the rest of the way after their cordless drills could not complete the task.3.  There are some natural limitations with this drill, but that is to be expected with a cordless drill.  For example, I can use this drill with large hole saw bits; however, it is significantly faster to use my 6 amp corded drill for this work.  Similarly, when using a spade bit to drill through multiple 2x4 headers, it is much faster to use a more powerful drill.  This drill can do the job, but it will take more time since it is simply not the right tool for that particular job.Summary:  If this drill is used for the right tasks and is treated well, it will perform better than many drills that occupy higher price ranges and it will also last for a very long time.  I have put this drill through its paces many times over in the last two years and it has never disappointed me.",The right tool for the right job(s),Style: 20V Drill/Driver KitVerified Purchase,3 people found this helpful,115,110,244413,Public
