author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Jason Diaz,/gp/profile/amzn1.account.AHFAQXPD3PEVQI3AZJHMR4TJPE6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2020",9,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Your browser does not support HTML5 video.           So I just purchased these lights and so far so good. I had another set by another company that was a little bit thicker and the adhesive wasn’t as strong so kudos to DayBetter. First off I want to start with unboxing and work my way through. Also from my video keep in mind I have 4 strips across. The two that came in one box covered from my light switch all the way to the middle of my tv. The rest of the door and the wall above my window was done with two more strips and 3 connectors.Unboxing: The box is pretty small but both strips of lights are rolled up inside neatly. They leave a little extra slack on the end of the 3M adhesive so you can start it easily with out having to pick at the beginning or cut anything. The 12v AC/DC adapter comes with this as well as the RGB control box with two connectors and the IR Receiver.Application: I tested all strands of lights out and they worked perfectly fine. The reason I said 4 stars on brightness is because I haven’t seen them all at night yet (only saw two strips not 4. Will update afterwards.) the 3M tape on the back of the lights peels off with ease. When applying make sure you have your lights lined up the way you’d like them because the tape is pretty strong. Besides that the lights go on fairly easy and I don’t think falling off will be an issue at all with these.Display: The colors all function properly and are quite vibrant. I still don’t know how to work the custom feature yet but I’m sure someone does or will figure it out. I’m pretty content on the colors already provided.Connecting: So like I said I have 4 strips on here. I had to use three connectors total but it doesn’t weaken the power or dim the lights at all. I bought them on amazon as well and the product name is “ TronicsPros 10pcs 4 Pin Solderless Waterproof LED Strip to Strip Connector RGB Flex LED Ribbon LED Rope LED Tape Light Gapless Adapter for 10mm Wide Waterproof SMD 5050 RGB Flexible LED Strip Light”. I had to flip them upside down I guess to get them to touch the GRB strip. Make sure that they are on the same way otherwise you may get two different colors. To open them I just used a mini flat head and gave it a light twist and the opened with ease!I’ve added pictures here and if you have any questions please feel free to reach out!,Please Read*** DayBetter Detailed Review,Verified Purchase,"1,685 people found this helpful",1690,5,389128,Public
Stephen L.,/gp/profile/amzn1.account.AFA6PAM72V7DJ5RRGL4MGI7OUJAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 8, 2019",11,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"My wife and I recently had a screened porch converted to a sunroom, and my wife wanted to add some sort of mood/celebratory lighting.  After considering a number of options, we found the Daybetter R5032 at a terrific price, and placed an order for one package.  Once we received the R5032 package, and started considering how we could mount the LED strip(s) we decided we would like to mount the light strips in a trough near the ceiling and use them to provide indirect lighting for the room.  The two 5 meter LED strips would allow us to place lighting along two walls of the sunroom.  Not being able to decide which two walls should carry the lights, it seemed to make more sense to place the lighting all the way around the room so we considered ordering a second R5032.  This would mean that we would have two controllers, and two IR receivers possibly placed in two different locations in the room.  The LED strips come with connectors on both ends making it seem like they could be connected in series, but this is not supported by Daybetter.  The controller has two separate leads each of which connects to one of the 5 meter LED strips.  Connecting both LED strips in series to one of the controller power leads would burn out the controller.  In order to place both IR receivers in the same location, but have one of these controllers control lights that were 5 meters away, we needed extension cables that would allow power from one controller to run to a LED strip 5 meters away.  I contacted Daybetter customer support to ask if they sold such extension cables.  The next day I received an email that said they did not carry any such cables, but they did provide a link to a company that sold such cables through Amazon, and they were willing to help offset the cost of the cables.  Thanks to this quick response, I ordered a second R5032 package from Daybetter, and a set of 4 four-conductor 3 meter extension cables from HUALAND.  Connecting two of the extension cables together gave me enough length to reach an LED strip 5 meters away.  The next issue became how to build a trough in which the LED stips could be mounted.  I found a solution at my local Lowes where I discovered a vinyl door edge that was a bit larger than the 0.5 inch width and height needed to conceal the LED strip.  The size was perfect (UnmountedTrough.jpg), and the price was a tenth of what wood trim would cost to cover the same length.  Since the trough was vinyl, I needed to insure that the LED strips did not generate enough heat to melt them so I laid out the LED strips and turned them on to full brightness to evaluate the amount of heat generated by the circuitry on the strip.  The heat through the resistors on the LED strip was barely detectable.  I painted the door edge trough and installed it at the bottom edge of a 1 x 2 trim piece that already went around the room (Trough+IRsensors.jpg).  I ended up installing the LED strip along the back edge of the trough rather than the bottom of the trough because I did not think the horizontally oriented LED strip would bend nicely around 90 degree corners (LEDinTrough.jpg).  Bending a vertically oriented LED strip around the room's 90 degree corners was no problem.  Once the trough and the LED strips were installed, I then needed to place two power packs and two controllers somewhere hopefully out of sight.  An attic is directly above the sunroom so I decided to drill a hole in one corner of the sunroom ceiling, and route the 4 conductor power cables through the hole into the ceiling where the two power packs and the two controllers would be mounted.  The power pack cords were long enough to allow them to be installed almost anywhere convenient in the attic (PowerPacks+Controllers).  The two controller modules had to be installed right next to the hole in the attic floor so that the IR receiver cables could pass through the hole and be aimed out to the center of the sunroom (Trough+IRsensors.jpg).  One remote control sends a command that is received by both controllers so all light strings react in unison.  The results are highly satisfactory as I hope can be seen from some of the included pictures (LEDsunroom1-7.jpg).  The light strips provide a wide range of colors at about 5 intensity levels, and the adhesive backing made mounting in the trough super simple.  The product works great for us, and the customer support was outstanding.",Works as described...Support is terrific!,Verified Purchase,"1,121 people found this helpful",1154,5,569539,Public
Jon G.,/gp/profile/amzn1.account.AGFESCYTWKGABCMMPUM5ZXBHLLYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 20, 2019",3,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I bought these lights to place above my cabinets in the kitchen.  Leaving the walls white, I can change the color and vibe of the entire room just by changing the color.  I like that you can cut the lights to fit a custom space.  I will be buying more of these in the future.",Vibrant accent lighting at a cheap price,Verified Purchase,648 people found this helpful,803,98,38059,Public
Nat,/gp/profile/amzn1.account.AGM23IP7YN45SXDYIWRUTFVKX2WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 15, 2020",0,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           So happy that I took the time to compare all the products to determine which is the best LED strip lights out there, and this is without the doubt the best one! It sticks well to the wall. If you need to adjust after you already applied it, you just peel the strips off slowly (so that the paint doesn't come off), and reapply it where you want it! I do want to point out something that would be helpful for y'all. -- If you're looking for connectors to connect separate strips, DAYBETTER suggests ""5050 4Pin Non-Waterproof RGB LED Strip Connector Kit includes 2 x Female Connector Wire, 2x L Connector Cable, 3x L Shape Connectors, 3x gapless Connector, 10x LED strip light clip,5x 4-pin Male Conne "" on Amazon! Do not purchase these connectors ""TronicsPros 10pcs 4 Pin Solderless Waterproof LED Strip to Strip Connector RGB Flex LED Ribbon LED Rope LED Tape Light Gapless Adapter for 10mm Wide Waterproof SMD 5050 RGB Flexible LED Strip Light"" that is seen as ""Frequently Bought Together"" with DAYBETTER LED strips. These waterproof connectors don't work as they aren't compatible with non-waterproof LED strips.","Fantastic, Durable LED Strips & Only Non-Waterproof Connectors Work!",Verified Purchase,514 people found this helpful,578,12,4160243,Public
Jason Diaz,/gp/profile/amzn1.account.AHFAQXPD3PEVQI3AZJHMR4TJPE6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2020",9,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,Your browser does not support HTML5 video.           So I just purchased these lights and so far so good. I had another set by another company that was a little bit thicker and the adhesive wasn’t as strong so kudos to DayBetter. First off I want to start with unboxing and work my way through. Also from my video keep in mind I have 4 strips across. The two that came in one box covered from my light switch all the way to the middle of my tv. The rest of the door and the wall above my window was done with two more strips and 3 connectors.Unboxing: The box is pretty small but both strips of lights are rolled up inside neatly. They leave a little extra slack on the end of the 3M adhesive so you can start it easily with out having to pick at the beginning or cut anything. The 12v AC/DC adapter comes with this as well as the RGB control box with two connectors and the IR Receiver.Application: I tested all strands of lights out and they worked perfectly fine. The reason I said 4 stars on brightness is because I haven’t seen them all at night yet (only saw two strips not 4. Will update afterwards.) the 3M tape on the back of the lights peels off with ease. When applying make sure you have your lights lined up the way you’d like them because the tape is pretty strong. Besides that the lights go on fairly easy and I don’t think falling off will be an issue at all with these.Display: The colors all function properly and are quite vibrant. I still don’t know how to work the custom feature yet but I’m sure someone does or will figure it out. I’m pretty content on the colors already provided.Connecting: So like I said I have 4 strips on here. I had to use three connectors total but it doesn’t weaken the power or dim the lights at all. I bought them on amazon as well and the product name is “ TronicsPros 10pcs 4 Pin Solderless Waterproof LED Strip to Strip Connector RGB Flex LED Ribbon LED Rope LED Tape Light Gapless Adapter for 10mm Wide Waterproof SMD 5050 RGB Flexible LED Strip Light”. I had to flip them upside down I guess to get them to touch the GRB strip. Make sure that they are on the same way otherwise you may get two different colors. To open them I just used a mini flat head and gave it a light twist and the opened with ease!I’ve added pictures here and if you have any questions please feel free to reach out!,Please Read*** DayBetter Detailed Review,Verified Purchase,"1,685 people found this helpful",1690,5,389128,Public
Elaine Muhammad,/gp/profile/amzn1.account.AGASFJCP5IP6AMICU7YLFRKTSLHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 3, 2019",1,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,Your browser does not support HTML5 video.           This product is amazing definitely will be purchasing again. The description is exactly what you get and how it looks however it’s even better once it comes! It’s so bright and so many different color options. You can even adjust the brightness. In love with this product! Make sure you get at least two boxes If you’re doing your whole room. It literally brightens up your whole room i love!,Absolutely Amazing,Verified Purchase,260 people found this helpful,275,15,13368908,Public
Kevin Guikema,/gp/profile/amzn1.account.AFL4D77DJMAAAAB42BDM3HGT2FFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 19, 2020",1,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"Your browser does not support HTML5 video.           The lights are very nice. They were easy to install, and if you have any troubles, there is a number to text on the instruction packet (this number helped me a lot). The lights have a good range of brightness, and colors. They stick very well the first time, and after I had adjusted the positioning of the lights they still stuck well. If your room is larger than 32.8 ft around, you will want to order separate connectors (the ones I bought are, JACKYLED4.0 out of 5 stars  601Reviews10 Pcs 4-Pin RGB LED Light Strip Connector JACKYLED PBC LED 10mm Gapless Strip to Strip Solderless Adapter for SMD 5050 Multicolor LED Strip). The lights worked really well with the connector shown in the video. The remote control has a DIY color spot which is fun to mess around with. I also noticed that the lights dont over heat which is nice. When I needed help, I texted the number, which responded very quickly, Lydia helped me out a lot 🙃.","Very good lights, and good customer service!!!",Verified Purchase,131 people found this helpful,131,2,62593673,Public
Amazon Customer,/gp/profile/amzn1.account.AFMWVTUVYUTFL7YEMCFEKCO7IFUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 27, 2020",0,0,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=4,4.0 out of 5 stars,"So the first thing i noticed when i got the cool new LEDs i was super stoked for, is the power supply is... a bit terrifying. it actually arcs to the plug when being plugged in, and the lights off, which means this thing is actually drawing a load with nothing running. thats just bad design, and maybe a hazard. ill keep an eye on it.To the LEDS credit, they do work well, and if the power konks out ill just supply it with a different one, the IR controller runs on 12-24 volts, so lots of options.The adhesive backing left alot to be desired. not much sticking power. its stuck up there, but getting there was tricky, as the weight of the rest of the strip would pull it off the wall, so i could not take my hand off of it.the part im really kinda ticked about was the manual. really, really short, uninformative, and written in gibberish trying to be passed off as english. the procedure in the manual for using the DIY buttons was flat wrong, you gotta use the one on this page. They really couldn't have a sit down with a native speaker for ten minutes to get the manual straightened out?all in all it works, and for what i paid the LEDs are fine and fixing anything that comes up is well within my experience as an electrical engineer. but being targeted as an end consumer product is a little misleading.","Power supply is a little terrifying, manual is useless, but hey cyberpunk!",Verified Purchase,5 people found this helpful,172,140,1191222,Public
M. Kristof,/gp/profile/amzn1.account.AHK6Z7D4HFNHXYW2ABKS4GEWQXLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 23, 2020",0,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=5,5.0 out of 5 stars,"Your browser does not support HTML5 video.           Very easy to setup and use.Couple tips:1. Make sure the receiver isn't hidden behind anything. The more objects that are between the receiver and the remote will reduce its ability to work.2. The adhesive works great. For best results, make sure the surface you are adhering the light strip to is clean. Even dust can affect how well the strip sticks. We applied it to the top of the crown molding (wiped off first with a dry cloth to remove dust) and it holds well.3. While applying, I found it easier to only peel off around 1-2 feet of the adhesive backing at a time. If you peel off more than that, the uncovered length may fold back and stick to itself.4. For everyone saying the DIY custom lighting option doesn't work - PLEASE watch the video. Yes, there might be instances where a remote doesn't work but we figured it out how to create and set custom colors.- From left to right on the remote, the colors are setup in Red Green Blue (RGB).- Push the DIY button you want to program- Push and hold the DOWN arrow for each color until the lights are completely off. You might have to do it a couple times because it's hard to know if all of one color is off.- When the light strip is completely dark, push the UP arrow for each color to create the DIY color you want. What you're doing is mixing the colors to create a custom color. For example, if you push the RED UP arrow all the way up to its brightest,  and the BLUE UP arrow all the way up to its brightest, it will make a Purple color (Red + Blue = Purple).- When you get the color you want, Push the same DIY button you pushed at the beginning.That's it.",These lights are great. DIY custom color option works too!,Verified Purchase,2 people found this helpful,125,55,1577858,Public
Shayleigh Orr,/gp/profile/amzn1.account.AFZ6P3WV46VZEAYHB355M53TW7EQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 2, 2019",0,,https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,Ummm why the heck would u sale a product that's 32.8ft but it's broken up in 2 parts with NO CONNECTOR u can only use one roll.....,Add a connector!!!!,Verified Purchase,197 people found this helpful,332,88,62464,Public
