author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,ranking,visibility_status
PR,/gp/profile/amzn1.account.AERY7KVJQUSWJE36UVMKPVZXWZBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 9, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I was happy to see a new book by one of my favorite authors, but will not be buying more.  Be warned that this book is a political statement.",Probably finished with her books,Verified Purchase,"1,446 people found this helpful",,1494,9,418162,Public
Pam,/gp/profile/amzn1.account.AFQKQKE7NORAQGVPVYWM7MJCJFTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 4, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"This is an amazing author, I’ve loved her work.Am disappointed in her crafted story to promote Communism, wish I hadn’t spent $14.99 to support it.",Disappointing,Verified Purchase,"1,546 people found this helpful",,1587,18,98635,Public
alex28,/gp/profile/amzn1.account.AEHVC637KOJ6J6FEQH6WYQ4YXBVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 3, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"It's now 3:00AM and I'm sitting in my living room, and I'm so moved and ready to fight..As we enter a new year with the same pandemic and political strife, so much of this book will open your eyes to the plight of those less fortunate trying to feed their families and make a living in dire times and trying to right wrongs. Sound familiar? It's Heartbreaking that we are fighting for the same BASIC human rights as we did 90+ YEARS AGO!!!The hardships faced by Elsa are simply relentless. Kristin Hannah wrote a visceral, richly detailed and atmospheric novel that will transport us back to the Dust Bowl and to the migrant settlements in California afterward, This is such a fascinating tale filled with captivating historical detail that gets glossed over in history books, Learning about the ""company store"" and how American citizens were forced to be basically slaves to these large farmers was eye-opening to me and I felt the desperation and hopelessness these people must have felt because they had nowhere to go and no one to turn to.By the end of this book, I cried, I raised my fist in the air.. and I also wondered Kristin Hannah has written so many great novels that one can only ponder if she can continue on the winning streak..Her writing will break you, move you, and heal you -all at once and she offers no regrets only explanations of why, how, and when she decided to choose such subjects to tackle with the upmost of respect, dignity, and courage.Kristin Hannah began writing this novel over three years ago, before the pandemic, before the skyrocketing unemployment that would follow. And yet, this story is so relevant to our current days, the isolation, dwindling funds, people, as she says in her note at the end, frightened for their future, men in power shushing voices in order to further their own desires, wanting us to pay attention to what they say and not what they really mean or what they show by their actions. Or, as the Wizard of Oz said: ’Pay no attention to that man behind the curtain.’",Stunning,Verified Purchase,788 people found this helpful,,1120,37,15827,Public
Susan,/gp/profile/amzn1.account.AFSWUR2BDYLQ4PQU5NDFRAZI24AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 7, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,I couldn’t wait for this book from a favorite author. No more. The tiny bit of light at the end was far too small to make up for all the sadness. The notes at the end tell us her family lost someone dear in this pandemic so it appears Ms Hannah wants to be sure everyone shares her grief. We are already there. I needed something to lift me above today’s darkness and this sure wasn’t it. I can’t recommend it to anyone and will in fact recommend my friends not to read it. Unfortunately I know some have already bought it. I’ll not buy any more by her.,Way too depressing,Verified Purchase,724 people found this helpful,,733,24,59257,Public
Laurie,/gp/profile/amzn1.account.AF63RGZRCYCKWRSBIU3IH6OJLJ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 2, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"What a book! Wow!!If you want a strong, courageous, downright heart wrenching novel with a woman named Elsa Martinelli and her lionhearted children, this is it!Elsa Martinelli has a good life living on a farm with her in-laws and two children in Texas during the 1930's.Then in the blink of an eye ---  The dust bowl comes with no rain, wind storms and no crops! Their farm animals are dying, crops are withered, and food and water are scarce! People have dust pneumonia.Life has taken a dramatic turn!Elsa decides after much turmoil to take her children and seek out a better life in California. ""Courage is fear you ignore."" She will make this journey for her family! This is the land of hope, good and plenty! Will they find the rainbow or just more devastation?At this time in our country with our own pandemic, this is certainly an emotional, thought provoking novel that I read deliberately.I could feel all the pain, heartache and challenges during this time in history and how similar they are at this present time to then!Ten stars for this brilliant story!It will not be forgotten anytime soon!",A amazing story that has it all!,,611 people found this helpful,,1416,763,1754,Public
beargriff,/gp/profile/amzn1.account.AF7K5AUMA3QCKFPIBSWCVJT3WGYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 3, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"It is a good book with great writing. It is just so sad and depressing.I am sure there are those who won’t agree with that,But I just couldn’t find any joy in the book",Sorry,Verified Purchase,552 people found this helpful,,567,20,167801,Public
Mindy Sue,/gp/profile/amzn1.account.AGMBPY4F5RNW75YIGWPDZ47TGRJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 2, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Unbelievable.  I sit here in literal tears... bawling.  Best book I’ve ever read.  Could not put it down.  Continued needing to know what would happen next.  My head is spinning.  My words are scrambled in my head because my emotions are everything.  NO MORE.,Incredible...heart wrenching... wow.,Verified Purchase,271 people found this helpful,,298,19,100574,Public
Roberta Armstrong,/gp/profile/amzn1.account.AELJ5634LZ66XSU7THWXUTA6BSTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 2, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I started this book right after breakfast yesterday morning, and nust finished it.  Though set in the 1930s, every face, every situation, every description,was an overlay of right now.  And the question, ""are we as resilient as we were to see this to a better end for us?"". This book captured the strength and will and love that we jave as Americans, and the tenacity and courage to fight for a better way.  Kristin Hannah, this is the best one yet.",This book was too good to put down,Verified Purchase,252 people found this helpful,,256,22,170605,Public
JC,/gp/profile/amzn1.account.AFEJPZQO4MSPH3OGZHWQNEHSO7OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 12, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"I’m three-fourths though this book and I can’t even finish. It’s horribly written, pro-communist dribble that I can’t even bring myself to care about how it ends. Don’t waste your time or money.",Just no,Verified Purchase,278 people found this helpful,,281,1,1193593,Public
Priscilla Mullins Duckworth,/gp/profile/amzn1.account.AGRGD3Z6ACQ5DDEZK65THMITPJ2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 17, 2021",0,,https://www.amazon.com/The-Four-Winds-A-Novel/product-reviews/B0882VNQKS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,What an anti-capitalist communist propaganda piece of crap. Will never buy her garbage again. I'm sure she's donating all of her capitalist book income to the working poor.,Anti-capitalist communist propaganda crap,Verified Purchase,247 people found this helpful,,262,32,175032,Public
